sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
We find this notion in Christianity in the idea of the wedding of the soul with Christ .,We/PRP find/VBP this/DT notion/NN in/IN Christianity/NNP in/IN the/DT idea/NN of/IN the/DT wedding/NN of/IN the/DT soul/NN with/IN Christ/NNP ./.,"nsubj(find-2, We-1) root(ROOT-0, find-2) det(notion-4, this-3) dobj(find-2, notion-4) case(Christianity-6, in-5) nmod:in(notion-4, Christianity-6) case(idea-9, in-7) det(idea-9, the-8) nmod:in(find-2, idea-9) case(wedding-12, of-10) det(wedding-12, the-11) nmod:of(idea-9, wedding-12) case(soul-15, of-13) det(soul-15, the-14) nmod:of(wedding-12, soul-15) case(Christ-17, with-16) nmod:with(soul-15, Christ-17)  ",wedding,12,"case(wedding-12, of-10) det(wedding-12, the-11) nmod:of(wedding-12, soul-15) nmod:of(idea-9, wedding-12) ",in the idea of the wedding of the soul with Christ,NN,[],,,,,,,,,"[('of', 'soul'), ('of', 'idea')]","['of', 'of']",['idea'],['soul'],['the'],definite article,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"During this courtship , the soul submits itself ever more faithfully and intimately to Christ until , finally , the soul is perfectly united with Christ : the spiritual wedding ( the unitive way ) .","During/IN this/DT courtship/NN ,/, the/DT soul/NN submits/VBZ itself/PRP ever/RB more/RBR faithfully/RB and/CC intimately/RB to/TO Christ/NNP until/IN ,/, finally/RB ,/, the/DT soul/NN is/VBZ perfectly/RB united/VBN with/IN Christ/NNP :/: the/DT spiritual/JJ wedding/NN -LRB-/-LRB- the/DT unitive/JJ way/NN -RRB-/-RRB- ./.","case(courtship-3, During-1) det(courtship-3, this-2) nmod:during(submits-7, courtship-3) det(soul-6, the-5) nsubj(submits-7, soul-6) root(ROOT-0, submits-7) nsubj(more-10, itself-8) advmod(more-10, ever-9) xcomp(submits-7, more-10) advmod(more-10, faithfully-11) cc(submits-7, and-12) conj:and(submits-7, intimately-13) case(Christ-15, to-14) nmod:to(intimately-13, Christ-15) mark(united-24, until-16) advmod(united-24, finally-18) det(soul-21, the-20) nsubjpass(united-24, soul-21) auxpass(united-24, is-22) advmod(united-24, perfectly-23) advcl(submits-7, united-24) case(Christ-26, with-25) nmod:with(united-24, Christ-26) det(wedding-30, the-28) amod(wedding-30, spiritual-29) dep(Christ-26, wedding-30) det(way-34, the-32) amod(way-34, unitive-33) appos(Christ-26, way-34)  ",wedding,30,"det(wedding-30, the-28) amod(wedding-30, spiritual-29) dep(Christ-26, wedding-30) ",with Christ : the spiritual wedding ( the unitive way ),NN,[],,,,,,,,,[],[],[],[],['the'],definite article,[],[],[],[],['spiritual'],[],[],[],[],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"Drinking was common at devotional events like pilgrimages and patterns , at baptisms , weddings , and wakes , at the great Celtic folk festivals , before faction fights and after Sunday Mass , at sporting events , on fair day , and at the arranged "" match . ""","Drinking/NNP was/VBD common/JJ at/IN devotional/JJ events/NNS like/IN pilgrimages/NNS and/CC patterns/NNS ,/, at/IN baptisms/NNS ,/, weddings/NNS ,/, and/CC wakes/NNS ,/, at/IN the/DT great/JJ Celtic/JJ folk/NN festivals/NNS ,/, before/IN faction/NN fights/NNS and/CC after/IN Sunday/NNP Mass/NNP ,/, at/IN sporting/NN events/NNS ,/, on/IN fair/JJ day/NN ,/, and/CC at/IN the/DT arranged/NNP ''/'' match/NN ./. ''/''","nsubj(common-3''''''', Drinking-1) nsubj(common-3''', Drinking-1) nsubj(common-3, Drinking-1) nsubj(common-3', Drinking-1) nsubj(common-3'', Drinking-1) nsubj(common-3'''', Drinking-1) nsubj(common-3''''', Drinking-1) nsubj(common-3'''''', Drinking-1) nsubj(common-3'''''''', Drinking-1) nsubj(common-3''''''''', Drinking-1) nsubj(common-3'''''''''', Drinking-1) nsubj(common-3''''''''''', Drinking-1) nsubj(common-3'''''''''''', Drinking-1) nsubj(common-3''''''''''''', Drinking-1) nsubj(common-3'''''''''''''', Drinking-1) nsubj(common-3''''''''''''''', Drinking-1) nsubj(common-3'''''''''''''''', Drinking-1) nsubj(common-3''''''''''''''''', Drinking-1) nsubj(common-3'''''''''''''''''', Drinking-1) nsubj(common-3''''''''''''''''''', Drinking-1) nsubj(common-3'''''''''''''''''''', Drinking-1) nsubj(common-3''''''''''''''''''''', Drinking-1) cop(common-3, was-2) root(ROOT-0, common-3) conj:and(common-3, common-3'''''''') conj:and(common-3, common-3'''') conj:and(common-3, common-3') conj:and(common-3, common-3'') conj:and(common-3, common-3''') conj:and(common-3, common-3''''') conj:and(common-3, common-3'''''') conj:and(common-3, common-3''''''') conj:and(common-3, common-3''''''''') conj:and(common-3, common-3'''''''''') conj:and(common-3, common-3''''''''''') conj:and(common-3, common-3'''''''''''') conj:and(common-3, common-3''''''''''''') conj:and(common-3, common-3'''''''''''''') conj:and(common-3, common-3''''''''''''''') conj:and(common-3, common-3'''''''''''''''') conj:and(common-3, common-3''''''''''''''''') conj:and(common-3, common-3'''''''''''''''''') conj:and(common-3, common-3''''''''''''''''''') conj:and(common-3, common-3'''''''''''''''''''') conj:and(common-3, common-3''''''''''''''''''''') case(events-6, at-4) amod(events-6, devotional-5) nmod:at(common-3, events-6) case(pilgrimages-8, like-7) nmod:like(common-3, pilgrimages-8) cc(common-3, and-9) conj(pilgrimages-8, patterns-10) case(baptisms-13, at-12) nmod:at(common-3'''''', baptisms-13) nmod:at(common-3'''''', weddings-15) conj:and(baptisms-13, weddings-15) cc(baptisms-13, and-17) nmod:at(common-3'''''', wakes-18) conj:and(baptisms-13, wakes-18) case(festivals-25, at-20) det(festivals-25, the-21) amod(festivals-25, great-22) amod(festivals-25, Celtic-23) compound(festivals-25, folk-24) nmod:at(common-3'''', festivals-25) case(fights-29, before-27) compound(fights-29, faction-28) nmod:before(common-3''''''', fights-29) cc(common-3, and-30) case(Mass-33, after-31) compound(Mass-33, Sunday-32) nmod:after(common-3'', Mass-33) case(events-37, at-35) compound(events-37, sporting-36) nmod:at(common-3''', events-37) case(day-41, on-39) amod(day-41, fair-40) nmod:on(common-3''''', day-41) cc(common-3, and-43) case(match-48, at-44) det(match-48, the-45) compound(match-48, arranged-46) nmod:at(common-3', match-48)  ",weddings,15,"conj:and(baptisms-13, weddings-15) ","patterns , at baptisms , weddings , and wakes , at",NNS,[],,,,,,,,,[],[],[],[],[],,"[('and', 'baptisms')]",['and'],['baptisms'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"And amongst the varied pageant of Shetland life there appeared a Shetland wedding , complete in realistic detail .","And/CC amongst/IN the/DT varied/JJ pageant/NN of/IN Shetland/NNP life/NN there/RB appeared/VBD a/DT Shetland/NNP wedding/NN ,/, complete/JJ in/IN realistic/JJ detail/NN ./.","cc(appeared-10, And-1) case(pageant-5, amongst-2) det(pageant-5, the-3) amod(pageant-5, varied-4) nmod:amongst(appeared-10, pageant-5) case(life-8, of-6) compound(life-8, Shetland-7) nmod:of(pageant-5, life-8) advmod(appeared-10, there-9) root(ROOT-0, appeared-10) det(wedding-13, a-11) compound(wedding-13, Shetland-12) nsubj(appeared-10, wedding-13) amod(wedding-13, complete-15) case(detail-18, in-16) amod(detail-18, realistic-17) nmod:in(complete-15, detail-18)  ",wedding,13,"det(wedding-13, a-11) compound(wedding-13, Shetland-12) amod(wedding-13, complete-15) nsubj(appeared-10, wedding-13) ","life there appeared a Shetland wedding , complete in realistic detail",NN,[],appeared,VBD,subject,appeared,appear,,,[],[],[],[],[],['a'],indefinite article,[],[],[],['Shetland'],['complete'],[],[],[],[],[],[],[],[],[],[],a,unit,singular,linked,ambiguous,['A+N'],countable,unknown
"Spectators joked with those on the floats , some commenting on the ethnographic accuracy of the presentations of local dances and scenes of a country wedding .","Spectators/NNS joked/VBD with/IN those/DT on/IN the/DT floats/NN ,/, some/DT commenting/VBG on/IN the/DT ethnographic/JJ accuracy/NN of/IN the/DT presentations/NNS of/IN local/JJ dances/NNS and/CC scenes/NNS of/IN a/DT country/NN wedding/NN ./.","nsubj(joked-2, Spectators-1) root(ROOT-0, joked-2) case(those-4, with-3) nmod:with(joked-2, those-4) case(floats-7, on-5) det(floats-7, the-6) nmod:on(those-4, floats-7) appos(floats-7, some-9) acl(some-9, commenting-10) case(accuracy-14, on-11) det(accuracy-14, the-12) amod(accuracy-14, ethnographic-13) nmod:on(commenting-10, accuracy-14) case(presentations-17, of-15) det(presentations-17, the-16) nmod:of(accuracy-14, presentations-17) case(dances-20, of-18) amod(dances-20, local-19) nmod:of(presentations-17, dances-20) cc(dances-20, and-21) nmod:of(presentations-17, scenes-22) conj:and(dances-20, scenes-22) case(wedding-26, of-23) det(wedding-26, a-24) compound(wedding-26, country-25) nmod:of(dances-20, wedding-26)  ",wedding,26,"case(wedding-26, of-23) det(wedding-26, a-24) compound(wedding-26, country-25) nmod:of(dances-20, wedding-26) ",and scenes of a country wedding .,NN,[],,,,,,,,,"[('of', 'dances')]",['of'],['dances'],[],['a'],indefinite article,[],[],[],['country'],[],[],[],[],['of'],[],[],[],[],[],[],a,unit,singular,linked,,['A+N'],countable,unknown
<p> All seven women who married during the year of my fieldwork became pregnant four to five months after their wedding nights .,<p>/NN All/RB seven/CD women/NNS who/WP married/VBN during/IN the/DT year/NN of/IN my/PRP$ fieldwork/NN became/VBD pregnant/JJ four/CD to/TO five/CD months/NNS after/IN their/PRP$ wedding/NN nights/NNS ./.,"nsubj(married-6, <p>-1) nsubj(became-13, <p>-1) advmod(<p>-1, All-2) nummod(women-4, seven-3) nmod:npmod(All-2, women-4) ref(<p>-1, who-5) acl:relcl(<p>-1, married-6) case(year-9, during-7) det(year-9, the-8) nmod:during(married-6, year-9) case(fieldwork-12, of-10) nmod:poss(fieldwork-12, my-11) nmod:of(year-9, fieldwork-12) root(ROOT-0, became-13) xcomp(became-13, pregnant-14) nmod:tmod(pregnant-14, four-15) case(months-18, to-16) nummod(months-18, five-17) nmod:to(pregnant-14, months-18) case(nights-22, after-19) nmod:poss(nights-22, their-20) compound(nights-22, wedding-21) nmod:after(became-13, nights-22)  ",wedding,21,"compound(nights-22, wedding-21) ",to five months after their wedding nights .,NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['nights'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Her father demands that if such a wedding is to be , the bridegroom must literally became a Jew .","Her/PRP$ father/NN demands/VBZ that/IN if/IN such/PDT a/DT wedding/NN is/VBZ to/TO be/VB ,/, the/DT bridegroom/NN must/MD literally/RB became/VBD a/DT Jew/NN ./.","nmod:poss(father-2, Her-1) nsubj(demands-3, father-2) root(ROOT-0, demands-3) mark(became-17, that-4) mark(is-9, if-5) det:predet(wedding-8, such-6) det(wedding-8, a-7) nsubj(is-9, wedding-8) nsubj(be-11, wedding-8) advcl(became-17, is-9) mark(be-11, to-10) xcomp(is-9, be-11) det(bridegroom-14, the-13) nsubj(became-17, bridegroom-14) aux(became-17, must-15) advmod(became-17, literally-16) ccomp(demands-3, became-17) det(Jew-19, a-18) xcomp(became-17, Jew-19)  ",wedding,8,"det:predet(wedding-8, such-6) det(wedding-8, a-7) nsubj(is-9, wedding-8) nsubj(be-11, wedding-8) ","demands that if such a wedding is to be , the",NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],"['such', 'a']",indefinite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],a,unit,singular,linked,singular,['A+N'],countable,unknown
"Caron opened with a childhood dream : "" It was all these wedding cakes and I was jumping up and down on a bed with a boy that I liked . """,Caron/NNP opened/VBD with/IN a/DT childhood/NN dream/NN :/: ''/'' It/PRP was/VBD all/PDT these/DT wedding/NN cakes/NNS and/CC I/PRP was/VBD jumping/VBG up/RB and/CC down/RB on/IN a/DT bed/NN with/IN a/DT boy/NN that/IN I/PRP liked/VBD ./. ''/'',"nsubj(opened-2, Caron-1) root(ROOT-0, opened-2) case(dream-6, with-3) det(dream-6, a-4) compound(dream-6, childhood-5) nmod:with(opened-2, dream-6) nsubj(cakes-14, It-9) cop(cakes-14, was-10) det:predet(cakes-14, all-11) det(cakes-14, these-12) compound(cakes-14, wedding-13) parataxis(opened-2, cakes-14) cc(cakes-14, and-15) nsubj(jumping-18, I-16) aux(jumping-18, was-17) parataxis(opened-2, jumping-18) conj:and(cakes-14, jumping-18) advmod(jumping-18, up-19) cc(up-19, and-20) advmod(jumping-18, down-21) conj:and(up-19, down-21) case(bed-24, on-22) det(bed-24, a-23) nmod:on(jumping-18, bed-24) case(boy-27, with-25) det(boy-27, a-26) nmod:with(jumping-18, boy-27) mark(liked-30, that-28) nsubj(liked-30, I-29) ccomp(jumping-18, liked-30)  ",wedding,13,"compound(cakes-14, wedding-13) ",""" It was all these wedding cakes and I was jumping",NN,[],was,VBD,object,,,was,be,[],[],[],[],[],[],,[],[],[],['cakes'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"wednesday I 'm bouncing back pretty quickly from Erin , and I think one of the reasons is that I 've been thinking about Sara .","wednesday/NNP I/PRP 'm/VBP bouncing/VBG back/RB pretty/RB quickly/RB from/IN Erin/NNP ,/, and/CC I/PRP think/VBP one/CD of/IN the/DT reasons/NNS is/VBZ that/IN I/PRP 've/VBP been/VBN thinking/VBG about/IN Sara/NNP ./."," nmod:tmod(bouncing-4, wednesday-1) nsubj(bouncing-4, I-2) aux(bouncing-4, 'm-3) root(ROOT-0, bouncing-4) advmod(quickly-7, back-5) advmod(quickly-7, pretty-6) advmod(bouncing-4, quickly-7) case(Erin-9, from-8) nmod:from(bouncing-4, Erin-9) cc(bouncing-4, and-11) nsubj(think-13, I-12) conj:and(bouncing-4, think-13) nsubj(is-18, one-14) case(reasons-17, of-15) det(reasons-17, the-16) nmod:of(one-14, reasons-17) ccomp(think-13, is-18) mark(thinking-23, that-19) nsubj(thinking-23, I-20) aux(thinking-23, 've-21) aux(thinking-23, been-22) ccomp(is-18, thinking-23) case(Sara-25, about-24) nmod:about(thinking-23, Sara-25)  ",wednesday,1,"nmod:tmod(bouncing-4, wednesday-1) ",wednesday I 'm bouncing back pretty,NNP,[],,,,,,,,,"[('tmod', 'bouncing')]",['tmod'],['bouncing'],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"wednesday Sara and I were supposed to hang out last night , but she had to cancel because of work , so instead I met her for a late lunch today .","wednesday/NNP Sara/NNP and/CC I/PRP were/VBD supposed/VBN to/TO hang/VB out/RP last/JJ night/NN ,/, but/CC she/PRP had/VBD to/TO cancel/VB because/RB of/IN work/NN ,/, so/IN instead/RB I/PRP met/VBD her/PRP for/IN a/DT late/JJ lunch/NN today/NN ./."," compound(Sara-2, wednesday-1) nsubjpass(supposed-6, Sara-2) nsubj(hang-8, Sara-2) cc(Sara-2, and-3) conj:and(Sara-2, I-4) nsubjpass(supposed-6, I-4) nsubj(hang-8, I-4) auxpass(supposed-6, were-5) root(ROOT-0, supposed-6) mark(hang-8, to-7) xcomp(supposed-6, hang-8) compound:prt(hang-8, out-9) amod(night-11, last-10) nmod:tmod(hang-8, night-11) cc(supposed-6, but-13) nsubj(had-15, she-14) nsubj(cancel-17, she-14) conj:but(supposed-6, had-15) mark(cancel-17, to-16) xcomp(had-15, cancel-17) case(work-20, because-18) mwe(because-18, of-19) nmod:because_of(cancel-17, work-20) dep(had-15, so-22) advmod(met-25, instead-23) nsubj(met-25, I-24) parataxis(had-15, met-25) dobj(met-25, her-26) case(lunch-30, for-27) det(lunch-30, a-28) amod(lunch-30, late-29) nmod:for(met-25, lunch-30) nmod:tmod(met-25, today-31)  ",wednesday,1,"compound(Sara-2, wednesday-1) ",wednesday Sara and I were supposed,NNP,[],hang,VB,subject,hang,hang,,,[],[],[],[],[],[],,[],[],[],['Sara'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
The grounds keeper consulted a rusty box of file cards and led us to the plot in his pickup truck ; from the truck bed he pulled out a power mower and cut away the weeds and brambles over a small granite marker set flush with the earth .,The/DT grounds/NNS keeper/NN consulted/VBN a/DT rusty/JJ box/NN of/IN file/NN cards/NNS and/CC led/VBN us/PRP to/TO the/DT plot/NN in/IN his/PRP$ pickup/NN truck/NN ;/: from/IN the/DT truck/NN bed/NN he/PRP pulled/VBD out/RP a/DT power/NN mower/NN and/CC cut/VBD away/RP the/DT weeds/NNS and/CC brambles/NNS over/IN a/DT small/JJ granite/NN marker/NN set/VBN flush/JJ with/IN the/DT earth/NN ./.,"det(keeper-3, The-1) compound(keeper-3, grounds-2) nsubj(consulted-4, keeper-3) nsubj(led-12, keeper-3) root(ROOT-0, consulted-4) det(box-7, a-5) amod(box-7, rusty-6) dobj(consulted-4, box-7) case(cards-10, of-8) compound(cards-10, file-9) nmod:of(box-7, cards-10) cc(consulted-4, and-11) conj:and(consulted-4, led-12) dobj(led-12, us-13) case(plot-16, to-14) det(plot-16, the-15) nmod:to(led-12, plot-16) case(truck-20, in-17) nmod:poss(truck-20, his-18) compound(truck-20, pickup-19) nmod:in(plot-16, truck-20) case(bed-25, from-22) det(bed-25, the-23) compound(bed-25, truck-24) nmod:from(pulled-27, bed-25) nsubj(pulled-27, he-26) nsubj(cut-33, he-26) parataxis(consulted-4, pulled-27) compound:prt(pulled-27, out-28) det(mower-31, a-29) compound(mower-31, power-30) dobj(pulled-27, mower-31) cc(pulled-27, and-32) parataxis(consulted-4, cut-33) conj:and(pulled-27, cut-33) compound:prt(cut-33, away-34) det(weeds-36, the-35) dobj(cut-33, weeds-36) cc(weeds-36, and-37) dobj(cut-33, brambles-38) conj:and(weeds-36, brambles-38) case(marker-43, over-39) det(marker-43, a-40) amod(marker-43, small-41) compound(marker-43, granite-42) nmod:over(weeds-36, marker-43) acl(marker-43, set-44) xcomp(set-44, flush-45) case(earth-48, with-46) det(earth-48, the-47) nmod:with(set-44, earth-48)  ",weeds,36,"det(weeds-36, the-35) cc(weeds-36, and-37) conj:and(weeds-36, brambles-38) nmod:over(weeds-36, marker-43) dobj(cut-33, weeds-36) ",mower and cut away the weeds and brambles over a small,NNS,[],cut,VBD,object,,,cut,cut,[],"[('over', 'marker')]",['over'],[],['marker'],['the'],definite article,"[('and', 'brambles')]",['and'],['brambles'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
"30 Another government-assisted emigrant , from a crown estate on the west Cork-Kerry border , wrote home that America was so bountiful that , while traveling along the Erie canal , "" we could walk out any time we pleased , and could eat plenty apples when we had any Desire "" ; and "" as for the crops here the Indian meal is growing here like weeds , and the finest fields of clover that ever were seen . ""","30/CD Another/DT government-assisted/JJ emigrant/NN ,/, from/IN a/DT crown/NN estate/NN on/IN the/DT west/JJ Cork-Kerry/JJ border/NN ,/, wrote/VBD home/NN that/IN America/NNP was/VBD so/RB bountiful/JJ that/IN ,/, while/IN traveling/VBG along/RP the/DT Erie/NNP canal/NN ,/, ''/'' we/PRP could/MD walk/VB out/RP any/DT time/NN we/PRP pleased/VBD ,/, and/CC could/MD eat/VB plenty/NN apples/NNS when/WRB we/PRP had/VBD any/DT Desire/NN ''/'' ;/: and/NNP ''/'' as/IN for/IN the/DT crops/NNS here/RB the/DT Indian/JJ meal/NN is/VBZ growing/VBG here/RB like/IN weeds/NNS ,/, and/CC the/DT finest/JJS fields/NNS of/IN clover/NN that/WDT ever/RB were/VBD seen/VBN ./. ''/''","nsubj(wrote-16, 30-1) det(emigrant-4, Another-2) amod(emigrant-4, government-assisted-3) dep(30-1, emigrant-4) case(estate-9, from-6) det(estate-9, a-7) compound(estate-9, crown-8) nmod:from(30-1, estate-9) case(border-14, on-10) det(border-14, the-11) amod(border-14, west-12) amod(border-14, Cork-Kerry-13) nmod:on(estate-9, border-14) root(ROOT-0, wrote-16) dobj(wrote-16, home-17) mark(bountiful-22, that-18) nsubj(bountiful-22, America-19) cop(bountiful-22, was-20) advmod(bountiful-22, so-21) dep(home-17, bountiful-22) mark(growing-65, that-23) dep(traveling-26, while-25) dep(growing-65, traveling-26) compound:prt(traveling-26, along-27) det(canal-30, the-28) compound(canal-30, Erie-29) dobj(traveling-26, canal-30) nsubj(walk-35, we-33) aux(walk-35, could-34) dep(canal-30, walk-35) compound:prt(walk-35, out-36) det(time-38, any-37) dobj(walk-35, time-38) nsubj(pleased-40, we-39) nsubj(eat-44, we-39) acl:relcl(time-38, pleased-40) cc(pleased-40, and-42) aux(eat-44, could-43) acl:relcl(time-38, eat-44) conj:and(pleased-40, eat-44) compound(apples-46, plenty-45) dobj(eat-44, apples-46) advmod(had-49, when-47) nsubj(had-49, we-48) advcl(eat-44, had-49) det(Desire-51, any-50) dobj(had-49, Desire-51) dep(canal-30, and-54) case(crops-59, as-56) mwe(as-56, for-57) det(crops-59, the-58) nmod:as_for(traveling-26, crops-59) advmod(meal-63, here-60) det(meal-63, the-61) amod(meal-63, Indian-62) nsubj(growing-65, meal-63) aux(growing-65, is-64) ccomp(bountiful-22, growing-65) advmod(growing-65, here-66) case(weeds-68, like-67) nmod:like(growing-65, weeds-68) cc(home-17, and-70) det(fields-73, the-71) amod(fields-73, finest-72) dobj(wrote-16, fields-73) conj:and(home-17, fields-73) nsubjpass(seen-79, fields-73) case(clover-75, of-74) nmod:of(fields-73, clover-75) ref(fields-73, that-76) advmod(seen-79, ever-77) auxpass(seen-79, were-78) acl:relcl(fields-73, seen-79)  ",weeds,68,"case(weeds-68, like-67) nmod:like(growing-65, weeds-68) ","meal is growing here like weeds , and the finest fields",NNS,[],,,,,,,,,"[('like', 'growing')]",['like'],['growing'],[],[],,[],[],[],[],[],[],[],[],['like'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
Religious leaders retained elements of their ethnoflora by importing Old World species and by using accidentally introduced weeds .,Religious/JJ leaders/NNS retained/VBD elements/NNS of/IN their/PRP$ ethnoflora/NN by/IN importing/VBG Old/NNP World/NNP species/NNS and/CC by/IN using/VBG accidentally/RB introduced/VBN weeds/NNS ./.,"amod(leaders-2, Religious-1) nsubj(retained-3, leaders-2) root(ROOT-0, retained-3) dobj(retained-3, elements-4) case(ethnoflora-7, of-5) nmod:poss(ethnoflora-7, their-6) nmod:of(elements-4, ethnoflora-7) mark(importing-9, by-8) dep(retained-3, importing-9) amod(World-11, Old-10) amod(species-12, World-11) dobj(importing-9, species-12) cc(importing-9, and-13) mark(using-15, by-14) dep(retained-3, using-15) conj:and(importing-9, using-15) advmod(introduced-17, accidentally-16) amod(weeds-18, introduced-17) dobj(using-15, weeds-18)  ",weeds,18,"amod(weeds-18, introduced-17) dobj(using-15, weeds-18) ",and by using accidentally introduced weeds .,NNS,[],using,VBG,object,,,using,use,[],[],[],[],[],[],,[],[],[],[],['introduced'],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"With almost 250,000 slaves arriving in Bahia between 1811 and 1851 , the probability of accidental weed introduction would have been high ( Eltis 1987 ) .","With/IN almost/RB 250,000/CD slaves/NNS arriving/VBG in/IN Bahia/NNP between/IN 1811/CD and/CC 1851/CD ,/, the/DT probability/NN of/IN accidental/JJ weed/NN introduction/NN would/MD have/VB been/VBN high/JJ -LRB-/-LRB- Eltis/NNP 1987/CD -RRB-/-RRB- ./.","case(slaves-4, With-1) advmod(250,000-3, almost-2) nummod(slaves-4, 250,000-3) nmod:with(high-22, slaves-4) acl(slaves-4, arriving-5) case(Bahia-7, in-6) nmod:in(arriving-5, Bahia-7) case(1811-9, between-8) nmod:between(Bahia-7, 1811-9) cc(1811-9, and-10) nmod:between(Bahia-7, 1851-11) conj:and(1811-9, 1851-11) det(probability-14, the-13) nsubj(high-22, probability-14) case(introduction-18, of-15) amod(introduction-18, accidental-16) compound(introduction-18, weed-17) nmod:of(probability-14, introduction-18) aux(high-22, would-19) aux(high-22, have-20) cop(high-22, been-21) root(ROOT-0, high-22) dep(high-22, Eltis-24) nummod(Eltis-24, 1987-25)  ",weed,17,"compound(introduction-18, weed-17) ",", the probability of accidental weed introduction would have been high",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['introduction'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"<p> Moreover , the tenacity with which alien weeds successfully colonized the increasingly disturbed landscape created a direct botanical link between the Old and New Worlds .","<p>/RB Moreover/RB ,/, the/DT tenacity/NN with/IN which/WDT alien/JJ weeds/NNS successfully/RB colonized/VBD the/DT increasingly/RB disturbed/JJ landscape/NN created/VBD a/DT direct/JJ botanical/JJ link/NN between/IN the/DT Old/NNP and/CC New/NNP Worlds/NNP ./.","advmod(created-16, <p>-1) advmod(created-16, Moreover-2) det(tenacity-5, the-4) nmod:with(colonized-11, tenacity-5) nsubj(created-16, tenacity-5) case(which-7, with-6) ref(tenacity-5, which-7) amod(weeds-9, alien-8) nsubj(colonized-11, weeds-9) advmod(colonized-11, successfully-10) acl:relcl(tenacity-5, colonized-11) det(landscape-15, the-12) advmod(disturbed-14, increasingly-13) amod(landscape-15, disturbed-14) dobj(colonized-11, landscape-15) root(ROOT-0, created-16) det(link-20, a-17) amod(link-20, direct-18) amod(link-20, botanical-19) dobj(created-16, link-20) case(Worlds-26, between-21) det(Worlds-26, the-22) compound(Worlds-26, Old-23) cc(Old-23, and-24) conj:and(Old-23, New-25) compound(Worlds-26, New-25) nmod:between(link-20, Worlds-26)  ",weeds,9,"amod(weeds-9, alien-8) nsubj(colonized-11, weeds-9) ",the tenacity with which alien weeds successfully colonized the increasingly disturbed,NNS,[],colonized,VBD,subject,colonized,colonize,,,[],[],[],[],[],[],,[],[],[],[],['alien'],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
