Noun,Noun Count,NN Count,NN Percentage,NNS Count,NNS Percentage,NNP Count,NNP Percentage,NNPS Count,NNPS Percentage,Plural Noun Count,Plural Noun Percentage,Singular Noun Count,Singular Noun Percentage,Bare Plural Noun Count,Bare Plural Noun Percentage,Bare Singular Noun Count,Bare Singular Noun Percentage,Linked Noun Count,Linked Noun Percentage,Noun Negation Count,Noun Negation Percentage,Verb Construction Count,Verb Construction Percentage,VB Count,VB Percentage,VBD Count,VBD Percentage,VBG Count,VBG Percentage,VBN Count,VBN Percentage,VBP Count,VBP Percentage,VBZ Count,VBZ Percentage,Plural Verb Count,Plural Verb Percentage,Singular Verb Count,Singular Verb Percentage,Verb Subject Count,Verb Subject Percentage,Unique Verb Subject Count,Significant Verb Subjects,Significant Verb Subject Count,Verb Object Count,Verb Object Percentage,Unique Verb Object Count,Significant Verb Objects,Significant Verb Object Count,Verb Negation Count,Verb Negation Percentage,Prepositional Phrase Count,Prepositional Phrase Percentage,Prepositional Subject Count,Prepositional Subject Percentage,Unique Prepositional Subject Count,Significant Prepositional Subjects,Prepositional Object Count,Prepositional Object Percentage,Unique Prepositional Object Count,Significant Prepositional Objects,Determiner Count,Determiner Percentage,Unique Determiner Count,Significant Determiners,Indefinite Article Count,Indefinite Article Percentage,Definite Article Count,Definite Article Percentage,Demonstrative Pronoun Count,Demonstrative Pronoun Percentage,Quantifier Count,Quantifier Percentage,Other Determiner Count,Other Determiner Percentage,Conjoined Count,Conjoined Percentage,Unique Conjoined Count,Significant Conjoined,Compound Count,Compound Percentage,Unique Compound Count,Significant Compounds,Adjective Count,Adjective Percentage,Unique Adjective Count,Significant Adjectives,Possesed Count,Possesed Percentage,Unique Possesed Count,Significant Possesed,Possesive Count,Possesive Percentage,Numeric Count,Numeric Percentage,Adverb Count,Adverb Percentage,Appositive Count,Appositive Percentage,Appositional Modifier Count,Appositional Modifier Percentage,Unique Appositional Modifier Count,Significant Appositional Modifiers,Modified Appositive Count,Modified Appositive Percentage,Unique Modified Appositive Count,Significant Modified Appositives,Modal Count,Modal Percentage,Conditional Count,Conditional Percentage,Denumerator Count,Denumerator Percentage,Unit Denumerator Count,Unit Denumerator Percentage,Fuzzy Denumerator Count,Fuzzy Denumerator Percentage,Other Denumerator Count,Other Denumerator Percentage,Allan Count,Allan Percentage,A N Count,A N Percentage,F Ns Count,F Ns Percentage,Ex Pl Count,Ex Pl Percentage,O Den Count,O Den Percentage,All N Count,All N Percentage,Countable Count,Countable Percentage,Uncountable Count,Uncountable Percentage,Verdical Count,Verdical Percentage,NonVerdical Count,NonVerdical Percentage
justice,4072,3661,0.90,398,0.10,13,0.00,0,0,395,0.10,3670,0.90,96,0.02,3334,0.82,642,0.16,39,0.01,1455,0.36,435,0.30,240,0.16,147,0.10,176,0.12,175,0.12,265,0.18,175,0.12,265,0.18,689,0.47,255,"{'do': 26, 'be': 174}",2,766,0.53,256,"{'be': 48, 'do': 161}",2,79,0.05,2343,0.58,1993,0.85,970,{},350,0.15,222,{'court': 35},556,0.14,16,"{'a': 75, 'both': 4, 'all': 8, 'that': 7, 'these': 3, 'some': 14, 'an': 13, 'this': 6, 'another': 7, 'each': 4, 'the': 402, 'any': 6, 'those': 4}",98,0.18,350,0.63,19,0.03,11,0.02,72,0.13,920,0.23,394,{'peace': 75},877,0.22,287,"{'supreme': 68, 'court': 74, 'system': 248}",1186,0.29,265,"{'other': 30, 'environmental': 42, 'chief': 41, 'economic': 56, 'social': 279, 'military': 28, 'racial': 30, 'criminal': 72, 'distributive': 28}",23,0.01,22,{},44,0.01,65,0.02,58,0.01,284,0.07,70,0.25,58,{},72,0.25,59,{'peace': 8},14,0.00,11,0.00,163,0.04,90,0.55,8,0.05,65,0.40,283,0.07,90,0.32,8,0.03,119,0.42,65,0.23,1,0.00,278,0.07,1,0.00,117,0.03,16,0.00
key,3767,2806,0.74,957,0.25,4,0.00,0,0,957,0.25,2804,0.74,371,0.10,213,0.06,3183,0.84,17,0.00,2672,0.71,444,0.17,350,0.13,175,0.07,166,0.06,295,0.11,1162,0.43,295,0.11,1162,0.43,1172,0.44,172,"{'be': 809, 'lie': 49}",2,1500,0.56,254,"{'be': 576, 'use': 43, 'give': 26, 'provide': 29, 'turn': 41, 'have': 50, 'press': 55, 'hold': 77, 'find': 40}",9,46,0.02,1803,0.48,706,0.39,480,{'one': 60},1097,0.61,637,{'success': 148},2909,0.77,17,"{'a': 398, 'all': 11, 'that': 7, 'this': 9, 'some': 9, 'an': 27, 'these': 10, 'every': 2, 'another': 18, 'each': 6, 'the': 2395, 'any': 10, 'those': 3}",415,0.14,1680,0.58,24,0.01,21,0.01,762,0.26,385,0.10,304,{},459,0.12,218,{'car': 45},566,0.15,233,{},6,0.00,6,"{'functions': 1, 'proximity': 1, 'system': 1, 'length': 1, 'venture': 1, 'roads': 1}",203,0.05,102,0.03,148,0.04,158,0.04,47,0.30,47,{},32,0.20,31,{},59,0.02,112,0.03,521,0.14,426,0.82,7,0.01,88,0.17,652,0.17,417,0.64,4,0.01,143,0.22,88,0.13,0,0,630,0.17,0,0,63,0.02,160,0.04
kid,14223,2453,0.17,11758,0.83,12,0.00,0,0,11752,0.83,2448,0.17,5726,0.40,312,0.02,8185,0.58,62,0.00,8497,0.60,2634,0.31,1610,0.19,521,0.06,584,0.07,2426,0.29,665,0.08,2426,0.29,665,0.08,5217,0.61,797,"{'do': 109, 'get': 184, 'need': 115, 'know': 80, 'have': 255, 'learn': 86, 'go': 108, 'be': 1088, 'come': 81}",9,3280,0.39,571,"{'be': 521, 'have': 351, 'give': 99, 'get': 131, 'send': 64, 'keep': 59, 'see': 67, 'take': 102, 'want': 83, 'teach': 73, 'tell': 68, 'raise': 84}",12,125,0.01,5318,0.37,4125,0.78,1821,{},1193,0.22,686,{},5293,0.37,20,"{'a': 1124, 'both': 15, 'all': 169, 'that': 36, 'these': 311, 'each': 13, 'some': 165, 'an': 24, 'this': 94, 'every': 50, 'another': 20, 'half': 7, 'such': 4, 'the': 3091, 'any': 45, 'those': 119}",1206,0.23,2678,0.51,459,0.09,158,0.03,684,0.13,1177,0.08,631,{'parents': 77},1019,0.07,556,{'school': 68},2545,0.18,646,"{'little': 144, 'older': 119, 'many': 108, 'young': 85, 'most': 119, 'other': 298, 'black': 70}",637,0.04,397,{},2503,0.18,690,0.05,566,0.04,712,0.05,179,0.25,145,{},177,0.25,148,{},21,0.00,135,0.01,1889,0.13,1116,0.59,98,0.05,675,0.36,1920,0.13,1078,0.56,97,0.05,70,0.04,675,0.35,0,0,1895,0.13,0,0,185,0.01,146,0.01
kilometre,11,1,0.09,10,0.91,0,0,0,0,10,0.91,1,0.09,2,0.18,0,0,9,0.82,0,0.00,1,0.09,0,0,0,0,0,0,0,0,0,0,1,1.00,0,0,1,1.00,0,0.00,0,{},0,1,1.00,1,{'rid': 1},1,0,0.00,11,1.00,8,0.73,7,"{'switched': 1, 'away': 2, 'back': 1, 'suffering': 1, 'further': 1, 'east': 1, 'spawned': 1}",3,0.27,3,"{'school': 1, 'fiver': 1, 'frontiers': 1}",5,0.45,4,"{'a': 2, 'the': 1, 'every': 1, 'half': 1}",2,0.40,1,0.20,0,0,1,0.20,0,0,0,0.00,0,{},0,0.00,0,{},3,0.27,3,"{'few': 1, 'capable': 1, 'fifty': 1}",0,0.00,0,{},0,0.00,6,0.55,4,0.36,2,0.18,1,0.50,1,{'bombers': 1},0,0.00,0,{},0,0.00,0,0.00,9,0.82,2,0.22,0,0,7,0.78,8,0.73,1,0.12,0,0,0,0,7,0.88,0,0,8,0.73,0,0,0,0,0,0
kind,20498,16261,0.79,4236,0.21,1,0.00,0,0,4236,0.21,16258,0.79,1389,0.07,1986,0.10,17123,0.84,196,0.01,10949,0.53,2910,0.27,1671,0.15,792,0.07,1017,0.09,1651,0.15,2512,0.23,1651,0.15,2512,0.23,4273,0.39,869,"{'be': 1255, 'make': 141, 'have': 94}",3,6676,0.61,878,"{'do': 147, 'use': 89, 'get': 165, 'provide': 88, 'create': 88, 'give': 93, 'have': 514, 'become': 104, 'be': 1613, 'make': 166}",10,214,0.02,24494,1.19,6877,0.28,3319,{},17617,0.72,5888,{},16087,0.78,110,"{'a': 3718, 'both': 72, 'all': 915, 'which': 24, 'that': 921, 'these': 292, 'some': 1074, 'what': 932, 'whatever': 20, 'an': 80, 'this': 1581, 'every': 123, 'either': 12, 'another': 165, 'each': 31, 'the': 5081, 'any': 813, 'those': 113}",4775,0.30,4857,0.30,2371,0.15,1789,0.11,2245,0.14,1489,0.07,1071,{},448,0.02,342,{},4142,0.20,718,"{'different': 737, 'right': 95, 'many': 184, 'same': 338, 'certain': 244, 'other': 316, 'various': 145, 'particular': 90, 'new': 360, 'several': 76, 'special': 75}",12,0.00,12,{},445,0.02,756,0.04,836,0.04,1246,0.06,501,0.40,446,{},122,0.10,111,{},119,0.01,317,0.02,4924,0.24,3891,0.79,244,0.05,789,0.16,5819,0.28,3886,0.67,243,0.04,886,0.15,789,0.14,15,0.00,5637,0.28,15,0.00,408,0.02,372,0.02
kindness,243,235,0.97,8,0.03,0,0,0,0,7,0.03,235,0.97,3,0.01,130,0.53,110,0.45,1,0.00,81,0.33,19,0.23,15,0.19,9,0.11,12,0.15,12,0.15,14,0.17,12,0.15,14,0.17,29,0.36,21,{'be': 6},1,52,0.64,34,{'be': 7},1,4,0.05,193,0.79,135,0.70,99,{'acts': 12},58,0.30,38,"{'strangers': 10, 'friends': 7}",63,0.26,7,"{'a': 7, 'all': 2, 'that': 1, 'this': 2, 'some': 3, 'an': 1, 'the': 47}",11,0.17,46,0.73,3,0.05,2,0.03,1,0.02,107,0.44,74,"{'generosity': 9, 'love': 9}",8,0.03,8,"{'generosity': 1, 'jealousy': 1, 'deer': 1, 'patterns': 1, 'values': 1, 'movement': 1, 'prince': 1, 'loving': 1}",51,0.21,38,"{'human': 4, 'loving': 6}",0,0.00,0,{},48,0.20,0,0.00,4,0.02,34,0.14,11,0.32,11,{},6,0.18,5,"{'patience': 1, 'metta': 1, 'laugh': 1, 'devotion': 1, 'sense': 2}",0,0.00,1,0.00,8,0.03,8,1.00,0,0,0,0,22,0.09,8,0.36,0,0,12,0.55,0,0,2,0.09,20,0.08,2,0.01,5,0.02,1,0.00
king,2783,2302,0.83,471,0.17,10,0.00,0,0,471,0.17,2309,0.83,297,0.11,531,0.19,1955,0.70,22,0.01,1274,0.46,248,0.19,430,0.34,48,0.04,164,0.13,89,0.07,276,0.22,89,0.07,276,0.22,652,0.51,317,{'be': 135},1,622,0.49,211,"{'become': 33, 'be': 247}",2,31,0.02,1538,0.55,908,0.59,675,{},630,0.41,447,{},1858,0.67,17,"{'a': 252, 'both': 5, 'all': 15, 'that': 3, 'this': 19, 'some': 3, 'an': 18, 'these': 5, 'another': 3, 'the': 1526, 'any': 3}",263,0.14,1360,0.73,25,0.01,8,0.00,185,0.10,509,0.18,336,{},448,0.16,277,{'mackerel': 44},555,0.20,259,{'new': 31},238,0.09,176,{},100,0.04,20,0.01,116,0.04,352,0.13,106,0.30,91,{},70,0.20,64,{},33,0.01,40,0.01,286,0.10,260,0.91,2,0.01,24,0.08,335,0.12,260,0.78,2,0.01,48,0.14,24,0.07,1,0.00,328,0.12,1,0.00,51,0.02,59,0.02
kingdom,974,831,0.85,134,0.14,9,0.01,0,0,131,0.13,839,0.86,53,0.05,51,0.05,870,0.89,2,0.00,319,0.33,83,0.26,84,0.26,20,0.06,44,0.14,21,0.07,60,0.19,21,0.07,60,0.19,150,0.47,81,{'be': 43},1,169,0.53,101,"{'be': 24, 'enter': 12}",2,12,0.04,857,0.88,557,0.65,457,{},300,0.35,181,{'god': 65},757,0.78,15,"{'a': 60, 'all': 6, 'that': 5, 'this': 9, 'some': 3, 'an': 11, 'every': 2, 'such': 2, 'the': 650, 'those': 4}",73,0.10,615,0.81,18,0.02,1,0.00,42,0.06,89,0.09,79,{},224,0.23,86,"{'vegetable': 9, 'plant': 21, 'desert': 11, 'animal': 59}",265,0.27,161,{},39,0.04,36,{},116,0.12,12,0.01,19,0.02,74,0.08,19,0.26,18,{'state': 2},18,0.24,16,{'one': 3},1,0.00,6,0.01,88,0.09,71,0.81,4,0.05,13,0.15,104,0.11,71,0.68,4,0.04,16,0.15,13,0.12,0,0,102,0.10,0,0,14,0.01,7,0.01
kitchen,3690,3455,0.94,232,0.06,3,0.00,0,0,231,0.06,3456,0.94,149,0.04,1281,0.35,2260,0.61,9,0.00,1052,0.29,249,0.24,199,0.19,115,0.11,103,0.10,127,0.12,251,0.24,127,0.12,251,0.24,449,0.43,190,{'be': 129},1,603,0.57,254,"{'be': 78, 'have': 33}",2,16,0.02,1939,0.53,1654,0.85,990,{},285,0.15,214,{},1838,0.50,14,"{'a': 255, 'both': 2, 'all': 5, 'that': 5, 'this': 21, 'some': 2, 'an': 29, 'every': 9, 'each': 3, 'the': 1500, 'any': 4}",265,0.14,1419,0.77,24,0.01,17,0.01,108,0.06,492,0.13,262,{'room': 62},1378,0.37,423,"{'soup': 66, 'sink': 63, 'table': 173}",456,0.12,212,"{'new': 26, 'own': 25}",31,0.01,24,"{'connection': 3, 'cabinets': 3}",408,0.11,23,0.01,58,0.02,170,0.05,32,0.19,28,{},53,0.31,43,{'room': 5},7,0.00,11,0.00,301,0.08,267,0.89,4,0.01,30,0.10,398,0.11,266,0.67,3,0.01,99,0.25,30,0.08,0,0,384,0.10,0,0,25,0.01,15,0.00
knee,3358,1582,0.47,1760,0.52,16,0.00,0,0,1760,0.52,1590,0.47,563,0.17,658,0.20,2137,0.64,4,0.00,1367,0.41,528,0.39,220,0.16,218,0.16,95,0.07,140,0.10,159,0.12,140,0.10,159,0.12,416,0.30,166,{'be': 120},1,951,0.70,251,"{'bring': 30, 'keep': 48, 'bend': 180, 'have': 31, 'be': 42}",5,16,0.01,1533,0.46,1385,0.90,732,{},148,0.10,111,{},539,0.16,9,"{'a': 55, 'both': 42, 'that': 5, 'an': 2, 'every': 1, 'either': 1, 'each': 9, 'the': 422, 'those': 2}",57,0.11,407,0.76,7,0.01,8,0.01,57,0.11,509,0.15,174,"{'hip': 25, 'ankles': 25, 'elbows': 29, 'feet': 20, 'hands': 87, 'hips': 35}",662,0.20,199,"{'surgery': 24, 'injury': 50, 'injuries': 32, 'bent': 95}",528,0.16,134,"{'bad': 14, 'right': 127, 'bent': 36, 'left': 121}",3,0.00,3,"{'stability': 1, 'stabilizer': 1, 'ligament': 1}",1542,0.46,63,0.02,68,0.02,226,0.07,67,0.30,57,{},46,0.20,41,{},1,0.00,4,0.00,168,0.05,107,0.64,0,0,61,0.36,226,0.07,107,0.47,0,0,58,0.26,61,0.27,0,0,224,0.07,0,0,20,0.01,5,0.00
knowledge,11641,11594,1.00,30,0.00,17,0.00,0,0,13,0.00,11610,1.00,10,0.00,7658,0.66,3973,0.34,151,0.01,5431,0.47,1742,0.32,734,0.14,560,0.10,617,0.11,518,0.10,1176,0.22,518,0.10,1176,0.22,1933,0.36,448,"{'be': 605, 'have': 46}",2,3498,0.64,547,"{'be': 212, 'use': 132, 'develop': 65, 'require': 83, 'acquire': 133, 'share': 88, 'increase': 83, 'gain': 79, 'have': 475, 'apply': 66}",10,151,0.03,8847,0.76,5128,0.58,2004,{},3719,0.42,1576,{},2223,0.19,19,"{'a': 354, 'both': 21, 'all': 82, 'any': 51, 'that': 159, 'this': 223, 'some': 76, 'what': 7, 'whatever': 2, 'an': 58, 'either': 3, 'which': 2, 'each': 2, 'neither': 2, 'the': 1177}",470,0.21,1100,0.49,336,0.15,113,0.05,182,0.08,3013,0.26,980,"{'skills': 365, 'experience': 134}",1594,0.14,567,"{'transfer': 63, 'base': 176}",4142,0.36,750,"{'prior': 106, 'scientific': 186, 'new': 158, 'such': 90}",3,0.00,3,"{'sources': 1, 'literatures': 1, 'coexistence': 1}",1760,0.15,10,0.00,221,0.02,562,0.05,107,0.19,88,{},174,0.31,141,{},19,0.00,49,0.00,432,0.04,396,0.92,0,0,36,0.08,1008,0.09,396,0.39,0,0,517,0.51,36,0.04,59,0.06,915,0.08,59,0.01,302,0.03,51,0.00
label,2866,1777,0.62,1072,0.37,17,0.01,0,0,1066,0.37,1788,0.62,715,0.25,348,0.12,1803,0.63,18,0.01,1539,0.54,522,0.34,268,0.17,115,0.07,180,0.12,201,0.13,246,0.16,201,0.13,246,0.16,705,0.46,262,"{'be': 129, 'say': 30}",2,834,0.54,254,"{'read': 93, 'be': 36, 'check': 41, 'have': 41}",4,38,0.02,1433,0.50,1064,0.74,704,{},369,0.26,309,{},1501,0.52,15,"{'a': 332, 'both': 5, 'all': 17, 'that': 26, 'these': 35, 'some': 12, 'an': 38, 'this': 24, 'every': 4, 'another': 6, 'each': 8, 'such': 6, 'the': 977, 'any': 4, 'those': 7}",357,0.24,878,0.58,70,0.05,20,0.01,161,0.11,288,0.10,239,{},1015,0.35,491,"{'food': 63, 'record': 88}",854,0.30,345,"{'new': 54, 'major': 51, 'own': 45}",34,0.01,31,{},284,0.10,40,0.01,54,0.02,250,0.09,45,0.18,38,{'records': 7},80,0.32,59,{'records': 18},6,0.00,5,0.00,402,0.14,356,0.89,7,0.02,39,0.10,458,0.16,354,0.77,7,0.02,58,0.13,39,0.09,0,0,450,0.16,0,0,56,0.02,8,0.00
labor,6603,6464,0.98,138,0.02,1,0.00,0,0,138,0.02,6464,0.98,27,0.00,5865,0.89,711,0.11,15,0.00,2293,0.35,586,0.26,511,0.22,253,0.11,304,0.13,259,0.11,352,0.15,259,0.11,352,0.15,1024,0.45,374,{'be': 281},1,1269,0.55,467,{'be': 140},1,58,0.03,2522,0.38,2083,0.83,1059,{'division': 150},439,0.17,326,{'love': 36},360,0.05,11,"{'a': 45, 'both': 12, 'all': 8, 'that': 10, 'these': 5, 'some': 4, 'an': 5, 'this': 7, 'either': 3, 'the': 256, 'any': 5}",51,0.14,241,0.67,20,0.06,10,0.03,35,0.10,1153,0.17,526,"{'business': 53, 'capital': 81}",3528,0.53,698,"{'unions': 203, 'costs': 176, 'force': 425, 'market': 220, 'movement': 145}",1232,0.19,388,"{'cheap': 96, 'hard': 48, 'organized': 97, 'manual': 54}",34,0.01,30,{},344,0.05,13,0.00,67,0.01,214,0.03,44,0.21,43,{},63,0.29,59,{},11,0.00,25,0.00,79,0.01,50,0.63,2,0.03,27,0.34,332,0.05,49,0.15,1,0.00,250,0.75,27,0.08,5,0.02,324,0.05,5,0.00,73,0.01,32,0.00
labour,153,149,0.97,4,0.03,0,0,0,0,4,0.03,149,0.97,1,0.01,134,0.88,18,0.12,0,0.00,50,0.33,14,0.28,16,0.32,2,0.04,7,0.14,4,0.08,7,0.14,4,0.08,7,0.14,21,0.42,14,{'be': 8},1,29,0.58,24,{'be': 4},1,2,0.04,65,0.42,53,0.82,47,{},12,0.18,11,{'market': 2},12,0.08,4,"{'a': 3, 'this': 1, 'the': 7, 'that': 1}",3,0.25,7,0.58,1,0.08,0,0,1,0.08,44,0.29,31,"{'energy': 4, 'capital': 7}",73,0.48,51,{'force': 16},22,0.14,18,"{'forced': 2, 'indian': 3, 'unpaid': 2}",1,0.01,1,{'system': 1},6,0.04,0,0.00,2,0.01,8,0.05,2,0.25,2,"{'series': 1, 'energy': 1}",2,0.25,2,"{'oxford': 1, 'plt': 1}",0,0.00,0,0.00,3,0.02,3,1.00,0,0,0,0,7,0.05,3,0.43,0,0,4,0.57,0,0,0,0,7,0.05,0,0,2,0.01,0,0
lack,6650,6647,1.00,2,0.00,1,0.00,0,0,1,0.00,6643,1.00,1,0.00,1973,0.30,4676,0.70,97,0.01,3030,0.46,602,0.20,552,0.18,140,0.05,363,0.12,279,0.09,1009,0.33,279,0.09,1009,0.33,1701,0.56,375,"{'be': 515, 'make': 88, 'lead': 47, 'mean': 41}",4,1329,0.44,317,"{'reflect': 37, 'be': 319, 'explain': 32, 'include': 35, 'show': 32}",5,78,0.03,9377,1.41,2713,0.29,1360,{},6664,0.71,1942,{},3771,0.57,15,"{'a': 1328, 'all': 4, 'that': 28, 'this': 232, 'some': 5, 'an': 33, 'these': 4, 'such': 8, 'the': 2115, 'any': 9}",1286,0.34,1767,0.47,144,0.04,8,0.00,555,0.15,1432,0.22,900,{},198,0.03,152,{},701,0.11,236,"{'relative': 40, 'apparent': 31, 'total': 42, 'complete': 29, 'general': 49}",1,0.00,1,{'message': 1},910,0.14,6,0.00,220,0.03,408,0.06,181,0.44,165,{},23,0.06,21,{'absence': 3},22,0.00,36,0.01,1291,0.19,1284,0.99,2,0.00,5,0.00,1571,0.24,1284,0.82,1,0.00,279,0.18,5,0.00,2,0.00,1501,0.23,2,0.00,175,0.03,51,0.01
lad,174,100,0.57,74,0.43,0,0,0,0,73,0.42,100,0.57,22,0.13,16,0.09,136,0.78,1,0.01,96,0.55,29,0.30,37,0.39,5,0.05,8,0.08,8,0.08,9,0.09,8,0.08,9,0.09,60,0.62,45,{'be': 6},1,36,0.38,29,{'be': 5},1,0,0.00,74,0.43,45,0.61,44,{},29,0.39,29,{},112,0.64,8,"{'a': 38, 'this': 8, 'some': 1, 'an': 3, 'these': 1, 'the': 59, 'any': 1, 'those': 1}",40,0.36,52,0.46,9,0.08,1,0.01,10,0.09,13,0.07,13,{},19,0.11,16,"{'farm': 2, 'country': 2, 'ccc': 2}",67,0.39,45,{'young': 9},3,0.02,3,"{'head': 1, 'confession': 1, 'face': 1}",18,0.10,9,0.05,5,0.03,36,0.21,12,0.33,11,{'thee': 2},6,0.17,6,"{'folding': 1, 'lad': 1, 'company': 1, 'piazzolla': 1, 'lads': 1, 'thompson': 1}",0,0.00,1,0.01,48,0.28,42,0.88,0,0,6,0.12,48,0.28,40,0.83,0,0,2,0.04,6,0.12,0,0,47,0.27,0,0,1,0.01,1,0.01
lake,3733,2370,0.63,1338,0.36,25,0.01,0,0,1338,0.36,2377,0.64,956,0.26,672,0.18,2105,0.56,4,0.00,1097,0.29,194,0.18,193,0.18,119,0.11,151,0.14,197,0.18,233,0.21,197,0.18,233,0.21,566,0.52,215,"{'be': 157, 'have': 30}",2,531,0.48,226,"{'be': 57, 'contain': 23}",2,10,0.01,2396,0.64,1978,0.83,1131,{},418,0.17,289,{},1929,0.52,18,"{'a': 454, 'both': 3, 'all': 9, 'that': 8, 'these': 30, 'some': 15, 'an': 34, 'this': 36, 'every': 3, 'either': 2, 'the': 1313, 'any': 10, 'those': 7}",489,0.25,1233,0.64,75,0.04,17,0.01,111,0.06,849,0.23,351,"{'ponds': 47, 'streams': 48, 'rivers': 123}",895,0.24,320,"{'water': 33, 'bed': 44, 'trout': 126}",1069,0.29,326,"{'large': 38, 'small': 60}",85,0.02,66,{},94,0.03,99,0.03,71,0.02,286,0.08,71,0.25,58,{},72,0.25,58,{'rivers': 6},5,0.00,12,0.00,614,0.16,488,0.79,35,0.06,91,0.15,686,0.18,484,0.71,35,0.05,76,0.11,91,0.13,0,0,680,0.18,0,0,14,0.00,15,0.00
lamb,397,296,0.75,90,0.23,11,0.03,0,0,90,0.23,305,0.77,60,0.15,199,0.50,138,0.35,0,0.00,166,0.42,63,0.38,27,0.16,12,0.07,14,0.08,20,0.12,29,0.17,20,0.12,29,0.17,61,0.37,45,{'be': 10},1,105,0.63,71,{},0,3,0.02,168,0.42,141,0.84,116,{},27,0.16,26,{},109,0.27,7,"{'a': 36, 'that': 3, 'this': 2, 'some': 3, 'an': 2, 'the': 62, 'any': 1}",40,0.37,61,0.56,5,0.05,1,0.01,2,0.02,122,0.31,84,{'beef': 14},74,0.19,49,"{'chops': 17, 'roast': 7}",87,0.22,59,"{'little': 7, 'sacrificial': 8}",24,0.06,15,"{'lettuce': 4, 'quarter': 3, 'ears': 5}",16,0.04,12,0.03,6,0.02,22,0.06,8,0.36,8,"{'sheep': 1, 'pork': 1, 'dglvs': 1, 'greens': 1, 'lion': 1, 'birth': 1, 'lady': 1, 'diseases': 1}",3,0.14,3,"{'poultry': 1, 'all': 1, 'bass': 1}",0,0.00,0,0.00,51,0.13,41,0.80,1,0.02,9,0.18,65,0.16,41,0.63,1,0.02,14,0.22,9,0.14,0,0,64,0.16,0,0,3,0.01,0,0
lamp,920,503,0.55,406,0.44,11,0.01,0,0,406,0.44,510,0.55,286,0.31,153,0.17,481,0.52,1,0.00,457,0.50,94,0.21,113,0.25,34,0.07,59,0.13,99,0.22,57,0.12,99,0.22,57,0.12,239,0.52,130,{'be': 47},1,218,0.48,117,{},0,4,0.01,426,0.46,331,0.78,262,{},95,0.22,73,{'shade': 15},410,0.45,12,"{'a': 155, 'all': 9, 'these': 11, 'some': 2, 'an': 14, 'this': 4, 'another': 2, 'each': 3, 'the': 205, 'any': 2, 'those': 2}",158,0.39,174,0.42,13,0.03,6,0.01,54,0.13,215,0.23,170,{},479,0.52,199,"{'table': 39, 'halogen': 21, 'street': 25, 'oil': 23}",282,0.31,157,"{'fluorescent': 23, 'kerosene': 18}",14,0.02,10,{'light': 5},54,0.06,22,0.02,8,0.01,140,0.15,35,0.25,31,{},35,0.25,32,{},0,0.00,2,0.00,181,0.20,159,0.88,0,0,22,0.12,215,0.23,158,0.73,0,0,35,0.16,22,0.10,0,0,205,0.22,0,0,5,0.01,2,0.00
land,13616,11630,0.85,1979,0.15,7,0.00,0,0,1970,0.14,11632,0.85,1241,0.09,7035,0.52,5340,0.39,61,0.00,5110,0.38,1378,0.27,1021,0.20,600,0.12,774,0.15,468,0.09,773,0.15,468,0.09,773,0.15,2012,0.39,543,"{'become': 57, 'be': 569}",2,3098,0.61,707,"{'be': 333, 'buy': 117, 'own': 84, 'have': 78}",4,128,0.03,8020,0.59,6234,0.78,2573,{},1786,0.22,1117,{},4402,0.32,21,"{'a': 389, 'both': 12, 'all': 86, 'that': 67, 'this': 264, 'some': 61, 'an': 33, 'these': 75, 'every': 8, 'another': 3, 'half': 6, 'the': 3336, 'any': 22, 'those': 30}",467,0.11,3169,0.72,394,0.09,80,0.02,241,0.05,1679,0.12,788,{'water': 95},3822,0.28,1021,"{'application': 107, 'use': 134, 'mines': 104, 'reform': 118}",3739,0.27,759,"{'federal': 140, 'private': 182, 'promised': 82, 'agricultural': 129, 'new': 88, 'public': 421, 'more': 83}",49,0.00,42,{},985,0.07,38,0.00,246,0.02,650,0.05,128,0.20,104,{},197,0.30,172,{},22,0.00,70,0.01,494,0.04,413,0.84,23,0.05,58,0.12,849,0.06,402,0.47,20,0.02,347,0.41,58,0.07,22,0.03,818,0.06,22,0.00,185,0.01,79,0.01
landing,1632,1016,0.62,610,0.37,6,0.00,0,0,610,0.37,1014,0.62,483,0.30,587,0.36,562,0.34,5,0.00,647,0.40,138,0.21,200,0.31,52,0.08,126,0.19,61,0.09,64,0.10,61,0.09,64,0.10,319,0.49,141,{'be': 81},1,328,0.51,183,"{'be': 26, 'make': 24}",2,12,0.02,969,0.59,638,0.66,474,{},331,0.34,242,{},473,0.29,12,"{'a': 145, 'all': 4, 'this': 5, 'some': 3, 'an': 28, 'these': 4, 'each': 3, 'the': 276, 'any': 2}",169,0.36,253,0.53,6,0.01,10,0.02,34,0.07,175,0.11,106,"{'takeoffs': 15, 'takeoff': 14}",765,0.47,297,"{'gear': 33, 'site': 37}",475,0.29,195,"{'total': 24, 'soft': 31, 'annual': 22, 'commercial': 63, 'first': 25}",2,0.00,2,"{'policy': 1, 'anniversary': 1}",67,0.04,29,0.02,27,0.02,90,0.06,17,0.19,17,{},28,0.31,25,{},3,0.00,7,0.00,198,0.12,169,0.85,1,0.01,28,0.14,219,0.13,167,0.76,1,0.00,23,0.11,28,0.13,0,0,216,0.13,0,0,17,0.01,7,0.00
