sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
But then justice is not the object of behavioral political science .,justice,"nsubj(object-7, justice-3) ",NN,,VBZ,is,be,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"Notice , however , that while "" value-free "" political science dignifies and thereby strengthens any opposition group regardless of the group 's goals or values , it tacitly places in question the justice of society 's established values .",justice,"det(justice-34, the-33) nmod:of(justice-34, values-39) dobj(places-30, justice-34) ",NN,,VBZ,,,places,place,,of values,of,,values,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
""" This idea of justice , "" he continues , "" is motivated by hatred of everything that is outstanding , which we make no effort to imitate but , on the contrary , try to bring down to our level . """,justice,"case(justice-5, of-4) dep(justice-5, he-8) nmod:of(idea-3, justice-5) ",NN,,,,,,,,of idea,of,idea,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Liberals think that communitarians wish to breech the wall that should separate the enforceable principles of justice , which can be accepted by all , from the personal good that each person should be free to choose .",justice,"case(justice-17, of-16) ref(justice-17, which-19) acl:relcl(justice-17, accepted-22) nmod:of(principles-15, justice-17) nsubjpass(accepted-22, justice-17) ",NN,,VBN,accepted,accept,,,,of principles,of,principles,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The political conception of justice is based on "" certain fundamental intuitive ideas viewed as implicit in the public political culture of a democratic society "" ( Rawls 1990 , p. 240 ) .",justice,"case(justice-5, of-4) nmod:of(conception-3, justice-5) ",NN,,,,,,,,of conception,of,conception,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Yet , Neal admits that a key element in liberalism is the idea "" that a political conception of justice is limited in scope to the political framework of the state ; it allows for , indeed , is built on , the recognition and acceptance of a diversity of comprehensive moral ideals and conceptions of the good operative within society "" ( 1990 , p. 39 ) .",justice,"case(justice-20, of-19) nmod:of(conception-18, justice-20) ",NN,,,,,,,,of conception,of,conception,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"But Neal admits that in Rawls 's framework all ways of life are permitted , "" provided they respect the limits imposed by the principles of political justice "" ( quoting Rawls , emphasis added by Neal 1990 , p. 40 ) .",justice,"case(justice-28, of-26) amod(justice-28, political-27) dep(justice-28, Rawls-32) nmod:of(principles-25, justice-28) ",NN,,,,,,,,of principles,of,principles,,,,,,,political,[0.0075],[0.014166666666666666],[0.0025],[0.02375],[0.05583333333333333],[0.0075],[0.0275],[0.04],[0.0225],[0.04125],[0.725],[0.0075],[0.025],,,,,,,,,,,,singular,linked,,,unknown,unknown
"As a ( unknown to himself ) budding Platonist , he could never bring himself to believe that concepts such as truth and justice were eternally changeable according to some economic conditions rather than being basic and permanent .",justice,"nmod:such_as(concepts-19, justice-24) conj:and(truth-22, justice-24) ",NN,,,,,,,,such_as concepts,such_as,concepts,,,,and,truth,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Bulgakov was also a disillusioned ax-Marxist , at the time interested in ' metaphysical ' concepts of justice .",justice,"case(justice-18, of-17) nmod:of(concepts-16, justice-18) ",NN,,,,,,,,of concepts,of,concepts,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Thus , two of the hallmarks of liberal education are that , first , it concerns itself with the greatest of human issues such as the nature of love , hate , knowing , truth , loyalty , justice , God , beauty , number , meaning , and death .",justice,"appos(love-30, justice-40) conj:and(hate-32, justice-40) ",NN,,,,,,,,,,,,,,and,hate,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, love",love,,,,,,singular,bare singular,,,unknown,unknown
"( n1 ) <p> It is hard to know how the issue of justice , say , could be examined "" transpolitically , "" and so my initial sympathies he with the critics of liberal education whom Agresto disdains .",justice,"case(justice-14, of-13) nmod:of(issue-12, justice-14) ",NN,,,,,,,,of issue,of,issue,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"They taught , Jefferson says , friendship to their kind , and patriotism and justice to those who were not of their kind .",justice,"conj:and(friendship-7, justice-15) conj:and(patriotism-13, justice-15) ",NN,,,,,,,,,,,,,,"and, and","friendship, patriotism",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The philosophers knew that patriotism and justice are qualities most human beings must have for political community to sustain itself .,justice,"conj:and(patriotism-5, justice-7) nsubj(qualities-9, justice-7) ",NN,,VBP,are,be,,,,,,,,,,and,patriotism,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
They did not regard patriotism and justice as good for their own sakes .,justice,"dobj(regard-4, justice-7) conj:and(patriotism-5, justice-7) ",NN,,NN,,,regard,regard,not,,,,,,,and,patriotism,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,verdical
They regarded patriotism and even justice as conventional or political inculcations .,justice,"nmod:as(justice-6, inculcations-11) dep(patriotism-3, justice-6) ",NN,,,,,,,,as inculcations,as,,inculcations,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Their doctrine survived the ravages of time precisely because it did not reduce all existence to matter , because it did justice to the longings of the human soul .",justice,"dobj(did-21, justice-22) ",NN,,VBD,,,did,do,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Indeed , Arab political consciousness is not rife with notions of democracy as with those of justice and fairness .",justice,"case(justice-17, of-16) cc(justice-17, and-18) conj:and(justice-17, fairness-19) nmod:of(those-15, justice-17) ",NN,,,,,,,,of those,of,those,,,,and,fairness,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"More than any other reason , it is probably the symbiosis between justice and Islam that has shaped Arab attitudes toward the state of Israel ever since its establishment .",justice,"case(justice-13, between-12) nmod:between(symbiosis-11, justice-13) ",NN,,,,,,,,between symbiosis,between,symbiosis,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Although "" puritanism and social justice "" constitute one of five pillars of "" the general ideological framework of contemporary Islamic revivalism "" ; ( n14 ) notable is the absence of any allusion -- even remote -- to democracy as such .",justice,"acl:relcl(justice-7, constitute-9) nmod:of(justice-7, revivalism-23) dobj(social-6, justice-7) ",NN,,VBZ,,,social,social,,of revivalism,of,,revivalism,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"If Arab rulers manage to become capable of administering justice and fairness to all ( at least to most ) , their success will be remarkable .",justice,"cc(justice-10, and-11) conj:and(justice-10, fairness-12) dobj(administering-9, justice-10) ",NN,,VBG,,,administering,administer,,,,,,,,and,fairness,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
This does not preclude the soldiers being brought before justice tribunals .,justice,"compound(tribunals-11, justice-10) ",NN,,,,,,,,,,,,,,,,tribunals,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> F. Confidential matters that PNC members may have access to will be kept secret unless the fulfillment of their duties or the needs of justice strictly demand otherwise .,justice,"case(justice-26, of-25) nmod:of(needs-24, justice-26) ",NN,,,,,,,,of needs,of,needs,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
It will be made up not only of judges but of members of society who are not directly linked to the administration of justice .,justice,"case(justice-24, of-23) nmod:of(administration-22, justice-24) ",NN,,,,,,,,of administration,of,administration,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> In his final commentary on the first trial , Denny asserted that the execution of the accused "" undoubtedly meets the approval of a majority of citizens , at least in Moscow "" -- while "" conversations with individuals indicate a general feeling that justice has been done . """,justice,"nsubjpass(done-49, justice-46) ",NN,,VBN,done,do,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"And Denny , in any case , also invoked the threat to Russia from facist powers and painted the by-now ritual picture of Soviet citizens demanding justice for the heinous crimes perpetrated by Bukharin , et al . """,justice,"dobj(demanding-26, justice-27) ",NN,,VBG,,,demanding,demand,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"45 "" Peace was more important than progress and more important than justice .",justice,"case(justice-13, than-12) nmod:than(important-6, justice-13) ",NN,,,,,,,,than important,than,important,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Despite what nationalists argue , nationhood can not be the repository of all positive values , and it has little to say about freedom , justice or prosperity , although these ideas can be readily , if mistakenly , associated with it .",justice,"nmod:about(say-23, justice-27) conj:or(freedom-25, justice-27) ",NN,,,,,,,,about say,about,say,,,,or,freedom,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> In practice , however , "" telephone justice "" operated in place of the rule of law : Judges and other officials did as they were told by party officials , often by a telephone call .",justice,"compound(justice-9, telephone-8) nsubj(operated-11, justice-9) ",NN,,VBD,operated,operate,,,,,,,,,,,,telephone,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"For example , if the president is Czech ( like Vaclav Havel ) then the prime minister must be Slovak , and if the chief justice of the federal supreme or constitutional court is from one nation , then the vice chief justice must be from the other .",justice,"det(justice-26, the-24) amod(justice-26, chief-25) nmod:of(justice-26, supreme-30) nmod:of(justice-26, court-33) nsubj(nation-37, justice-26) ",NN,,VBZ,is,be,,,,"of supreme, of court","of, of",,"supreme, court",the,definite article,,,,chief,[0.11458333333333334],[0.060833333333333336],[0.00625],[0.15],[0.12958333333333333],[0.038125],[0.08895833333333332],[0.0525],[0.14916666666666667],[0.0725],[0.0725],[0.035],[0.03],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"For example , if the president is Czech ( like Vaclav Havel ) then the prime minister must be Slovak , and if the chief justice of the federal supreme or constitutional court is from one nation , then the vice chief justice must be from the other .",justice,"advmod(justice-43, then-39) det(justice-43, the-40) compound(justice-43, vice-41) compound(justice-43, chief-42) nsubj(other-48, justice-43) ",NN,,VB,be,be,,,,,,,,the,definite article,,,"vice, chief",,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,then,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"In keeping with this theme , the full constitutional court is to be divided equally between six Czech and six Slovak justices .",justices,"nummod(justices-22, six-20) compound(justices-22, Slovak-21) nmod:between(divided-14, justices-22) conj:and(Czech-18, justices-22) ",NNS,,,,,,,,between divided,between,divided,,,,and,czech,slovak,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,six,,,,,,,six,other,plural,linked,,O-DEN,countable,unknown
"Markets and commodity production are nascent , with "" just "" prices , anti-usury laws and state monopolies seen as appropriate mechanisms to ensure economic justice .",justice,"amod(justice-26, economic-25) dobj(ensure-24, justice-26) ",NN,,VB,,,ensure,ensure,,,,,,,,,,,economic,[0.017708333333333333],[0.04625],[0.00625],[0.071875],[0.11458333333333334],[0.014583333333333332],[0.1758333333333333],[0.0575],[0.08791666666666668],[0.028333333333333335],[0.23],[0.01],[0.13916666666666666],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
the suit does not offend ' traditional notions of fair play and substantial justice . ',justice,"amod(justice-14, substantial-13) nmod:of(notions-8, justice-14) conj:and(play-11, justice-14) ",NN,,,,,,,,of notions,of,notions,,,,and,play,,substantial,[0.0075],[0.0075],[0.0],[0.095],[0.015],[0.02375],[0.04125],[0.005],[0.0525],[0.0225],[0.0225],[0.04],[0.6675],,,,,,,,,,,,singular,linked,,,unknown,unknown
"section 1404(a) permits the district court to transfer any civil action to another district "" for the convenience of parties and witnesses , in the interest of justice . """,justice,"case(justice-31, of-30) nmod:of(interest-29, justice-31) ",NN,,,,,,,,of interest,of,interest,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The cost of governmental justice , however , has now reached the breaking point .",justice,"case(justice-5, of-3) amod(justice-5, governmental-4) nmod:of(cost-2, justice-5) ",NN,,,,,,,,of cost,of,cost,,,,,,,governmental,[0.05833333333333333],[0.0175],[0.00625],[0.15583333333333332],[0.0325],[0.02775],[0.16058333333333333],[0.0075],[0.05458333333333333],[0.075],[0.2675],[0.07166666666666667],[0.065],,,,,,,,,,,,singular,linked,,,unknown,unknown
It is assumed that one only gets justice in one place in U.S. law schools - in the courthouse .,justice,"dobj(gets-7, justice-8) ",NN,,VBZ,,,gets,get,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"Because we have developed this perfect legal system of justice that has discovery , disclosure , and all kinds of things that frighten the hearts of people around the world .",justice,"case(justice-10, of-9) nmod:of(system-8, justice-10) ",NN,,,,,,,,of system,of,system,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"If we can push these cases out of the public courts , are the citizens getting the same form of justice ?",justice,"case(justice-21, of-20) nmod:of(form-19, justice-21) ",NN,,,,,,,,of form,of,form,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The great debates over right and wrong , over justice and injustice , and over the place of the individual in society and history are rooted in what Greeks , Jews and Christians believed to be true of human nature and human needs .",justice,"case(justice-10, over-4) amod(justice-10, wrong-7) amod(justice-10, over-9) conj(justice-10, injustice-12) nmod:over(debates-3, justice-10) ",NN,,,,,,,,over debates,over,debates,,,,,injustice,,"wrong, over","[0.0925, 0.05375]","[0.05416666666666667, 0.12424404761904763]","[0.014196428571428572, 0.005523809523809523]","[0.08208333333333333, 0.07166666666666666]","[0.093125, 0.18708333333333335]","[0.0125, 0.0025]","[0.09333333333333332, 0.07875]","[0.045, 0.05]","[0.08892857142857143, 0.2697738095238095]","[0.06416666666666666, 0.0175]","[0.09, 0.037125]","[0.0675, 0.01]","[0.2025, 0.09208333333333334]",,,,,,,,,,,,singular,linked,,,unknown,unknown
"That is , the law is a means toward justice , not an end in itself .",justice,"case(justice-10, toward-9) nmod:toward(means-8, justice-10) ",NN,,,,,,,,toward means,toward,means,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"He served as trustee to the town of Alexandria , Virginia from its founding to its incorporation 25 years later ; and as agentleman justice of the county court for 20 years .",justice,"case(justice-25, as-23) compound(justice-25, agentleman-24) nmod:of(justice-25, court-29) ",NN,,,,,,,,of court,of,,court,,,,,agentleman,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Randolph : If the Masonic Federalism were adopted , it would insure freedom , justice , equality and fraternity , the four cardinal principles of Freemasonry .",justice,"dobj(insure-13, justice-16) conj:and(freedom-14, justice-16) ",NN,,VB,,,insure,insure,,,,,,,,and,freedom,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"As Rehnquist is now the chief justice and Wallace v. Jaffree spoke to the issue of a moment of silence for meditation or prayer , his view of accommodation will carry substantial weight in the issue of invocations .",justice,"mark(justice-7, As-1) nsubj(justice-7, Rehnquist-2) cop(justice-7, is-3) advmod(justice-7, now-4) det(justice-7, the-5) amod(justice-7, chief-6) cc(justice-7, and-8) conj:and(justice-7, spoke-12) advcl(carry-31, justice-7) ",NN,,VBZ,,,is,be,,,,,,the,definite article,and,spoke,,chief,[0.11458333333333334],[0.060833333333333336],[0.00625],[0.15],[0.12958333333333333],[0.038125],[0.08895833333333332],[0.0525],[0.14916666666666667],[0.0725],[0.0725],[0.035],[0.03],,,,now,,,,,as,,,singular,linked,singular,,unknown,nonverdical
The California justices wrote three separate concurring opinions and two dissenting opinions .,justices,"det(justices-3, The-1) compound(justices-3, California-2) nsubj(wrote-4, justices-3) ",NNS,,VBD,wrote,write,,,,,,,,the,other,,,california,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"<p> Even though the court concluded that invocations endorsed religion and the practice fosters government entanglement with religion , two justices invited the United States Supreme Court to endorse the other view of invocations when they decide on Lee v. Weisman .",justices,"nummod(justices-21, two-20) nsubj(invited-22, justices-21) ",NNS,,VBD,invited,invite,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,two,,,,,,,two,other,plural,linked,ambiguous,O-DEN,countable,unknown
Judges and justices have donned one or the other pair of lenses throughout the nation .,justices,"conj:and(Judges-1, justices-3) nsubj(donned-5, justices-3) ",NNS,,VBD,donned,don,,,,,,,,,,and,judges,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
<p> The principal stereotype : A morality of justice versus a morality of care .,justice,"case(justice-9, of-8) nmod:versus(justice-9, morality-12) nmod:of(morality-7, justice-9) ",NN,,,,,,,,"versus morality, of morality","versus, of",morality,morality,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Whether a principal is perceived as successful or not by students and teachers ( Kanpol 1987 ) is tied to the perceptions of what counts as justice , rules , and policy versus what counts as being caring and compassionate .",justice,"case(justice-27, as-26) appos(justice-27, rules-29) nmod:as(counts-25, justice-27) ",NN,,,,,,,,as counts,as,counts,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, rules",,rules,,,,,singular,bare singular,,,unknown,unknown
One view of schools is that they embody a community that is committed to a sharing atmosphere and cognizant of social justice and care .,justice,"case(justice-22, of-20) amod(justice-22, social-21) cc(justice-22, and-23) conj:and(justice-22, care-24) nmod:of(atmosphere-17, justice-22) ",NN,,,,,,,,of atmosphere,of,atmosphere,,,,and,care,,social,[0.014041666666666666],[0.0075],[0.00125],[0.03254166666666667],[0.021916666666666664],[0.01],[0.05854166666666666],[0.0175],[0.026708333333333334],[0.02],[0.7375],[0.0125],[0.04],,,,,,,,,,,,singular,linked,,,unknown,unknown
"For principals to emulate this , a balance must be found between being an authority figure and finding the middle path between justice and care , humility and ethnocentrism .",justice,"case(justice-23, between-22) cc(justice-23, and-24) conj:and(justice-23, care-25) conj:and(justice-23, humility-27) conj:and(justice-23, ethnocentrism-29) nmod:between(path-21, justice-23) ",NN,,,,,,,,between path,between,path,,,,"and, and, and","care, humility, ethnocentrism",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Demonstrating an understanding of this voice conveys to teachers and students that the principal is meeting the hurdles of school contradictions with responsibility , compassion , decisiveness , and justice .",justice,"appos(responsibility-23, justice-30) conj:and(compassion-25, justice-30) ",NN,,,,,,,,,,,,,,and,compassion,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, responsibility",responsibility,,,,,,singular,bare singular,,,unknown,unknown
"PROGRAMMATIC ISSUES <p> The School Psychology Program seeks students who evidenced high potential for scholarly inquiry , personal and interpersonal effectiveness , and a commitment to social justice and life-long professional and personal growth .",justice,"case(justice-28, to-26) amod(justice-28, social-27) cc(justice-28, and-29) conj:and(justice-28, professional-31) conj:and(justice-28, growth-34) nmod:to(evidenced-11, justice-28) ",NN,,,,,,,,to evidenced,to,evidenced,,,,"and, and","professional, growth",,social,[0.014041666666666666],[0.0075],[0.00125],[0.03254166666666667],[0.021916666666666664],[0.01],[0.05854166666666666],[0.0175],[0.026708333333333334],[0.02],[0.7375],[0.0125],[0.04],,,,,,,,,,,,singular,linked,,,unknown,unknown
"<p> Yet , Lindsey 's discussion of Kohlberg 's theory of moral development can not be the only framework taught to gifted students as it has been found to offer a view of morality based solely on a component of justice .",justice,"case(justice-41, of-40) nmod:of(component-39, justice-41) ",NN,,,,,,,,of component,of,component,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Thus , teaching gifted children a moral developmental theory based on justice ( Kohlberg ) , as well as one based on caring ( Gilligan ) appears to provide an outstanding union toward a gifted child 's understanding of human moral development .",justice,"case(justice-12, on-11) appos(justice-12, Kohlberg-14) nmod:on(based-10, justice-12) ",NN,,,,,,,,on based,on,based,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, kohlberg",,kohlberg,,,,,singular,bare singular,,,unknown,unknown
"<p> Table 3 reveals how this union proposed by Scott ( 1987 ) can provide gifted learners with the foundations for the development of morality based on care , responsibility , and justice .",justice,"advcl:based_on(provide-15, justice-33) conj:and(care-28, justice-33) ",NN,,,,,,,,,,,,,,and,care,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Leroux 's suggestions for the application of these theories include discussing principles of justice and moral reasoning , planning specific lessons dealing with the stage theory concepts of Kohlberg and Gilligan , and holding debates and simulation exercises to present moral conflicts .",justice,"cc(justice-14, and-15) conj:and(justice-14, moral-16) compound(reasoning-17, justice-14) ",NN,,,,,,,,,,,,,,and,moral,reasoning,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Moses was the leader of his people , and this man was the leader of his people Both leaders for Christ , both of heavenly origin , Both devoted to justice , both devoted to teaching Both act as mediator between the voice of God and the people ... 53 <p> This comparison between Moses and Adhemar -- "" Moysis clarissimus hic imitator "" -- is not surprising .",justice,"case(justice-31, to-30) appos(justice-31, hic-62) nmod:to(devoted-29, justice-31) ",NN,,,,,,,,to devoted,to,devoted,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, hic",,hic,,,,,singular,bare singular,,,unknown,unknown
Huygens himself may have given us a clue when in his autobiography he wrote that in the opinion of some people ( and Brosterhuysen may indeed have been one of them ) the pensive attitude Lievens had given him failed to do justice to the liveliness of his mind.,justice,"dobj(do-42, justice-43) ",NN,,VB,,,do,do,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
Because no Western nation possesses true justice and love .,justice,"amod(justice-7, true-6) cc(justice-7, and-8) conj:and(justice-7, love-9) dobj(possesses-5, justice-7) ",NN,,VBZ,,,possesses,possess,,,,,,,,and,love,,true,[0.09927976190476194],[0.05666666666666667],[0.017083333333333332],[0.17640476190476193],[0.07114880952380952],[0.0425],[0.11279166666666667],[0.0275],[0.09095833333333334],[0.056916666666666664],[0.09375],[0.0525],[0.1025],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"Nevertheless , it may be exactly the point of the title to shift to the center two figures who have been pushed to the margins of their society and thus to redress the balance through some act of poetic justice .",justice,"case(justice-40, of-38) amod(justice-40, poetic-39) nmod:of(act-37, justice-40) ",NN,,,,,,,,of act,of,act,,,,,,,poetic,[0.06416666666666666],[0.025],[0.0175],[0.0625],[0.04083333333333333],[0.055],[0.09666666666666666],[0.0125],[0.0575],[0.14833333333333332],[0.0775],[0.305],[0.0375],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Only by such a procedure can we do justice to the dynamic interaction between titles and their cotexts , which has been well expressed by Michel Butor when he speaks of "" poles entre lesquels circule une electricite de sees "" ( "" poles between which circulates an electricity of meaning "" ) ( qtd.",justice,"nmod:to(justice-9, interaction-13) dep(justice-9, poles-44) dep(justice-9, qtd-55) dobj(do-8, justice-9) ",NN,,VBP,,,do,do,,to interaction,to,,interaction,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,plural,EX-PL,countable,unknown
"Nevertheless , as Dante advances in the underworld , his understanding of sin and of divine justice increases .",justice,"case(justice-17, of-15) amod(justice-17, divine-16) ",NN,,,,,,,,,,,,,,,,,divine,[0.0375],[0.030416666666666665],[0.0025],[0.045],[0.0325],[0.0225],[0.0125],[0.00125],[0.01875],[0.03166666666666667],[0.0075],[0.7029166666666665],[0.055],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The imperial eagle as a symbol of justice takes up three whole cantos in Dante 's Paradiso , but the image is formed of lights ( Paradiso 18-20 ) .",justice,"case(justice-8, of-7) nmod:of(symbol-6, justice-8) ",NN,,,,,,,,of symbol,of,symbol,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Finally two years later , a special commission organized to resolve this dispute , the Junta de la Casa de Condestable , twisting traditional definitions of justice , argued that the special fueros of the Military Orders be retained , "" because it is right that each person should enjoy what is his , especially in matters of justice . """,justice,"case(justice-27, of-26) nmod:of(definitions-25, justice-27) ",NN,,,,,,,,of definitions,of,definitions,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Finally two years later , a special commission organized to resolve this dispute , the Junta de la Casa de Condestable , twisting traditional definitions of justice , argued that the special fueros of the Military Orders be retained , "" because it is right that each person should enjoy what is his , especially in matters of justice . """,justice,"case(justice-59, of-58) nmod:of(matters-57, justice-59) ",NN,,,,,,,,of matters,of,matters,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Their passivity becomes the other side of the coin whose terrible face Fernan Gomez saw : in his case , they believed that theirs was a just act performed against an untrustworthy tyrant ; in the present case , they can , with equal justice , submit passively to the trustworthy Monarchs .",justice,"case(justice-45, with-43) amod(justice-45, equal-44) nmod:with(submit-47, justice-45) ",NN,,,,,,,,with submit,with,submit,,,,,,,equal,[0.08449999999999999],[0.04929166666666667],[0.015],[0.06520833333333333],[0.020499999999999997],[0.06333333333333334],[0.12],[0.01],[0.057999999999999996],[0.12666666666666665],[0.105],[0.1375],[0.145],,,,,,,,,,,,singular,linked,,,unknown,unknown
