sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"In a day he managed to upset the balance of power in the Persian Gulf by seizing Kuwait and annexing it , intimidating his neighbors by a naked and shameless act of robbery and plunder .",robbery,"case(robbery-33, of-32) cc(robbery-33, and-34) conj:and(robbery-33, plunder-35) nmod:of(act-31, robbery-33) ",NN,,,,,,,,of act,of,act,,,and,plunder,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Neither a stroke , nor a two-year jail term for her part in an armed robbery , nor having her children taken away persuaded her to give up her habit for very long .",robbery,"case(robbery-16, in-13) det(robbery-16, an-14) amod(robbery-16, armed-15) nmod:in(part-12, robbery-16) ",NN,,,,,,,,in part,in,part,,an,,,,armed,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"It sounds kind of weird , taking a subway to a robbery .",robbery,"case(robbery-12, to-10) det(robbery-12, a-11) nmod:to(taking-7, robbery-12) ",NN,,,,,,,,to taking,to,taking,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"<p> The funny thing about the robbery , ' says Capella , was they were holding guns to our heads and calling us gentlemen . '",robbery,"case(robbery-7, about-5) det(robbery-7, the-6) nmod:about(thing-4, robbery-7) ",NN,,,,,,,,about thing,about,thing,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
( Koehler has pleaded not guilty to the charges in both indictments and has not been charged with taking part in the robbery . ),robbery,"case(robbery-23, in-21) det(robbery-23, the-22) nmod:in(taking-19, robbery-23) ",NN,,,,,,,,in taking,in,taking,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Back at VMI , the cadets met in Bill 's room to rehearse the robbery , practicing techniques to overpower three armed men .",robbery,"det(robbery-16, the-15) dobj(rehearse-14, robbery-16) ",NN,,VB,,,rehearse,rehearse,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"had worked on some big armored-car heists , including the bloody Brinks robbery in Nyack , New York , back in 1981 , during which two policemen and a guard were killed by Black Liberation Army members .",robbery,"case(robbery-13, including-9) det(robbery-13, the-10) amod(robbery-13, bloody-11) compound(robbery-13, Brinks-12) nmod:in(robbery-13, Nyack-15) nmod:including(worked-2, robbery-13) ",NN,,,,,,,,"in Nyack, including worked","in, including",worked,nyack,the,,,brinks,bloody,,,,,,,,,,,,singular,,[],unknown,unknown
"Terrorist groups , career criminals -- those are some of the types you look for when it 's a big , dangerous heist like an armored-car robbery .",robbery,"case(robbery-27, like-24) det(robbery-27, an-25) amod(robbery-27, armored-car-26) nmod:like(heist-23, robbery-27) ",NN,,,,,,,,like heist,like,heist,,an,,,,,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"Bob paid Ronnie Stromp another $101,000 for his role in the robbery and told him to get lost when he asked for more .",robbery,"case(robbery-13, in-11) det(robbery-13, the-12) nmod:in(role-10, robbery-13) ",NN,,,,,,,,in role,in,role,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"He said he did the robbery for the challenge , just to see if he could do it .",robbery,"det(robbery-6, the-5) nmod:for(robbery-6, challenge-9) dobj(did-4, robbery-6) ",NN,,VBD,,,did,do,,for challenge,for,,challenge,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"On May 24th , Jasinski showed up at Stromp 's apartment wearing a transmitting device and tricked him into talking about the robbery .",robbery,"case(robbery-23, about-21) det(robbery-23, the-22) nmod:about(talking-20, robbery-23) ",NN,,,,,,,,about talking,about,talking,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Bill was programmed virtually all his life ' to obey his father , and there was no way he could have refused to participate in the robbery , the experts said .",robbery,"case(robbery-27, in-25) det(robbery-27, the-26) nmod:in(participate-24, robbery-27) ",NN,,,,,,,,in participate,in,participate,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> The evening before his arrest , Thomson appeared on a local television program , where he discussed psychological research on eyewitness testimony and how people might best remember the faces of criminals observed during a robbery As he spoke , a Sydney woman watching the show was attacked , raped and left unconscious in her apartment .",robbery,"case(robbery-37, during-35) det(robbery-37, a-36) nmod:during(observed-34, robbery-37) ",NN,,,,,,,,during observed,during,observed,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"We passed Budville , where in real life a couple had run a wellknown bar until they were shot during a robbery .",robbery,"case(robbery-22, during-20) det(robbery-22, a-21) nmod:during(shot-19, robbery-22) ",NN,,,,,,,,during shot,during,shot,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"We had a robbery at the garage ... they got $20 "" <p> The county has no railroad , no Interstate highway and no rivers or streams .",robbery,"det(robbery-4, a-3) nmod:at(robbery-4, garage-7) dobj(had-2, robbery-4) ",NN,,VBD,,,had,have,,at garage,at,,garage,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"It covers 62 cities with 1989 populations of 250,000 or more and is based on crimes reported to the police in 1989 , including murder and non-negligent manslaughter , rape , robbery , aggravated assault , burglary , larceny-theft and motor-vehicle theft .",robbery,"dep(theft-42, robbery-32) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"But for some crimes , such as murder and robbery , the proportion and number of blacks arrested far exceeded those for whites .",robbery,"nmod:such_as(crimes-4, robbery-10) conj:and(murder-8, robbery-10) ",NN,,,,,,,,such_as crimes,such_as,crimes,,,and,murder,,,,,,,,,,,,,,singular,,[],unknown,unknown
"For example , during 1989 , 56 percent of those arrested for murder and 65 percent of those arrested for robbery were black .",robbery,"case(robbery-21, for-20) nmod:for(arrested-19, robbery-21) ",NN,,,,,,,,for arrested,for,arrested,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The disparity is even greater for bank robbery , auto theft , and transportation of stolen property .",robbery,"case(robbery-8, for-6) compound(robbery-8, bank-7) conj:and(robbery-8, theft-11) cc(robbery-8, and-13) conj:and(robbery-8, transportation-14) nmod:for(greater-5, robbery-8) ",NN,,,,,,,,for greater,for,greater,,,"and, and","theft, transportation",bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> After their flight to Chile following the December 1905 Villa Mercedes bank robbery , the Wild Bunch trio was not heard from again until 1907 when Butch and Sundance , alias Santiago Maxwell and Frank Boyd , were reported working at the Concordia tin mine in central Bolivia .",robbery,"case(robbery-14, following-7) det(robbery-14, the-8) compound(robbery-14, December-9) compound(robbery-14, 1905-10) compound(robbery-14, Villa-11) compound(robbery-14, Mercedes-12) compound(robbery-14, bank-13) nmod:following(Chile-6, robbery-14) ",NN,,,,,,,,following Chile,following,chile,,the,,,"december, 1905, villa, mercedes, bank",,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Most feuds were about damage to property , theft of cattle , robbery of merchants or disputed inheritances .",robbery,"nmod:of(robbery-14, merchants-16) conj:or(damage-6, robbery-14) ",NN,,,,,,,,of merchants,of,,merchants,,or,damage,,,,,,,,,,,,,,singular,,[],unknown,unknown
"When in August 1690 James Seton , brother and heir to Viscount Kingston , participated in the robbery of the mail bags on the high road between London and Edinburgh , his arrest was not followed by a trial ; instead the matter simply was swept under the carpet .",robbery,"case(robbery-18, in-16) det(robbery-18, the-17) nmod:of(robbery-18, bags-22) nmod:in(participated-15, robbery-18) ",NN,,,,,,,,"of bags, in participated","of, in",participated,bags,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"As a result of such measures , violent crimes with firearms , like assault and robbery , have stabilized or are actually declining .",robbery,"nmod:like(crimes-9, robbery-16) conj:and(assault-14, robbery-16) ",NN,,,,,,,,like crimes,like,crimes,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Besides , when your car is used in a federal crime like bank robbery , it attractsa lot of welcome attention from law-enforcement officials .",robbery,"case(robbery-15, like-13) compound(robbery-15, bank-14) nmod:like(crime-12, robbery-15) ",NN,,,,,,,,like crime,like,crime,,,,,bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"Thousands of these people had been making good money filching receipts , and if money got tight , they would go on to outright robbery .",robbery,"case(robbery-25, to-23) amod(robbery-25, outright-24) nmod:to(go-21, robbery-25) ",NN,,,,,,,,to go,to,go,,,,,,outright,,,,,,,,,,,,singular,,[],unknown,unknown
"They put me in prison for committing bank robbery , "" Martin says , "" and that was right .",robbery,"compound(robbery-9, bank-8) dobj(committing-7, robbery-9) ",NN,,VBG,,,committing,commit,,,,,,,,,bank,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Fifteen years later , I read that he had been murdered , the victim of an armed robbery in Euclid , Ohio .",robbery,"case(robbery-18, of-15) det(robbery-18, an-16) amod(robbery-18, armed-17) nmod:in(robbery-18, Ohio-22) nmod:of(victim-14, robbery-18) ",NN,,,,,,,,"in Ohio, of victim","in, of",victim,ohio,an,,,,armed,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"The anger over crime is hardly surprising since 2 of every 5 citizens will be injured in an assault or robbery during their lifetime . """,robbery,"nmod:in(injured-16, robbery-21) conj:or(assault-19, robbery-21) ",NN,,,,,,,,in injured,in,injured,,,or,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
He was charged with a different robbery .,robbery,"case(robbery-7, with-4) det(robbery-7, a-5) amod(robbery-7, different-6) nmod:with(charged-3, robbery-7) ",NN,,,,,,,,with charged,with,charged,,a,,,,different,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Today , unless the suspected crime is homicide or armed robbery , only three cars can be involved : the primary pursuit vehicle , one backup , and -- a critical new safeguard -- a trailing car occupied by a supervising sergeant .",robbery,"amod(robbery-11, armed-10) conj:or(homicide-8, robbery-11) advcl(involved-18, robbery-11) ",NN,,,,,,,,,,,,,or,homicide,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"When officers caught up with Mobley after a 40-mile chase , they found evidence linking him to the execution-style slaying of a 24-year-old college student during the robbery of a Domino 's Pizza stand a month earlier .",robbery,"case(robbery-28, during-26) det(robbery-28, the-27) nmod:of(robbery-28, stand-34) nmod:during(student-25, robbery-28) ",NN,,,,,,,,"of stand, during student","of, during",student,stand,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
One of the extraordinary features of the Peasants ' Revolt was the absence of looting ; they would not sully their ideals with robbery .,robbery,"case(robbery-24, with-23) nmod:with(sully-20, robbery-24) ",NN,,,,,,,,with sully,with,sully,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"If you take the person 's money , you had larceny , you had robbery on your mind , and that 's the case with this .",robbery,"nmod:on(robbery-15, mind-18) dobj(had-14, robbery-15) ",NN,,VBD,,,had,have,,on mind,on,,mind,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Or witnesses to a bank robbery could transfer their complete memory of the crime to investigators , so they could visually identify the offenders .",robbery,"case(robbery-6, to-3) det(robbery-6, a-4) compound(robbery-6, bank-5) nmod:to(witnesses-2, robbery-6) ",NN,,,,,,,,to witnesses,to,witnesses,,a,,,bank,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"The most telling sign of the relationship between serious crime and Prohibition was the dramatic reversal in the rates for robbery , burglary , murder , and assault when Prohibition was repealed in 1933 .",robbery,"case(robbery-21, for-20) conj:and(robbery-21, burglary-23) conj:and(robbery-21, murder-25) cc(robbery-21, and-27) conj:and(robbery-21, assault-28) acl:relcl(robbery-21, repealed-32) nmod:for(rates-19, robbery-21) ",NN,,,,,,,,for rates,for,rates,,,"and, and, and","burglary, murder, assault",,,,,,,,,,,,,,singular,,[],unknown,unknown
"John Coyne had a good question about whether kids with guns who are 18 years old should be called "" children , "" especially after they have just killed someone in a robbery .",robbery,"case(robbery-33, in-31) det(robbery-33, a-32) nmod:in(someone-30, robbery-33) ",NN,,,,,,,,in someone,in,someone,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"@ @ 
##2028813 It was supposed to look like a robbery gone wrong .",robbery,"case(robbery-12, like-10) det(robbery-12, a-11) acl(robbery-12, gone-13) nmod:like(look-9, robbery-12) ",NN,,,,,,,,like look,like,look,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"<p> Lizzie ticked away for four years until 1891 , when she committed a family robbery .",robbery,"det(robbery-16, a-14) compound(robbery-16, family-15) dobj(committed-13, robbery-16) ",NN,,VBD,,,committed,commit,,,,,,a,,,family,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
<p> The robbery launched a field day of Silent Gestures .,robbery,"det(robbery-3, The-2) nsubj(launched-4, robbery-3) ",NN,,VBD,launched,launch,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
Now armed robbery is just about the only trade that still offers employment to thousands of young men .,robbery,"amod(robbery-3, armed-2) nsubj(trade-9, robbery-3) ",NN,,VBZ,is,be,,,,,,,,,,,,armed,,,,,,,,,,,,singular,singular,[],unknown,unknown
"They breed violence , rape ( of children , too , increasingly ) , robbery , extortion , banditry , depression , psychosis , suicide -- but what else would you expect , in a city with no real employment and no prospects ? """,robbery,"compound(suicide-25, robbery-15) ",NN,,,,,,,,,,,,,,,suicide,,,,,,,,,,,,,singular,,[],unknown,unknown
"On Aug. 4 , 1992 , she was released from the Broward Correctional Institution after serving eight months of a 22-month sentence for her part in a robbery at a club in Fort Lauderdale . """,robbery,"case(robbery-28, in-26) det(robbery-28, a-27) nmod:at(robbery-28, club-31) nmod:in(serving-16, robbery-28) ",NN,,,,,,,,"at club, in serving","at, in",serving,club,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"In France , for example , 90% of people accused of murder , rape or robbery are convicted , vs. only 53% here .",robbery,"conj:or(rape-15, robbery-17) nsubjpass(convicted-19, robbery-17) ",NN,,VBN,convicted,convict,,,,,,,,,or,rape,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Kody was charged with assault , robbery , and grand theft auto .",robbery,"nmod:with(charged-3, robbery-7) conj:and(assault-5, robbery-7) ",NN,,,,,,,,with charged,with,charged,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
Minutes later Kody agreed to plead guilty to the robbery charge in exchange for a seven-year sentence .,robbery,"compound(charge-11, robbery-10) ",NN,,,,,,,,,,,,,,,charge,,,,,,,,,,,,,singular,,[],unknown,unknown
The second fact was that armed robbery was always a capital offense in China .,robbery,"amod(robbery-7, armed-6) nsubj(offense-12, robbery-7) ",NN,,VBD,was,be,,,,,,,,,,,,armed,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
It is difficult to assess the extent of carjacking in that most law enforcement agencies categorize it as an armed robbery or vehicle theft .,robbery,"case(robbery-21, as-18) det(robbery-21, an-19) amod(robbery-21, armed-20) cc(robbery-21, or-22) conj:or(robbery-21, theft-24) nmod:as(categorize-16, robbery-21) ",NN,,,,,,,,as categorize,as,categorize,,an,or,theft,,armed,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"The main reason for targeting these vehicles is that , if armed robbery is the motive , there is a greater likelihood that the driver of a Mercedes Benz or other luxury car will be carrying a lot of money or will be in possession of valuables , such as jewelry .",robbery,"amod(robbery-13, armed-12) nsubj(motive-16, robbery-13) ",NN,,VBZ,is,be,,,,,,,,,,,,armed,,,,,,,,,,,,singular,singular,[],unknown,unknown
was convicted of robbery and murder in Illinois in 1976 .,robbery,"case(robbery-4, of-3) cc(robbery-4, and-5) conj:and(robbery-4, murder-6) nmod:of(convicted-2, robbery-4) ",NN,,,,,,,,of convicted,of,convicted,,,and,murder,,,,,,,,,,,,,,singular,,[],unknown,unknown
"While on appeal bond in 1984 , she was arrested for robbery in New York State and has not left a prison since .",robbery,"case(robbery-12, for-11) nmod:in(robbery-12, State-16) nmod:for(arrested-10, robbery-12) ",NN,,,,,,,,"in State, for arrested","in, for",arrested,state,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> 
##2022916 A few weeks ago , the following letter was delivered to us with the return address of the Orange County Jail , in Sanford , Florida , where the writer is awaiting sentencing for armed bank robbery .",robbery,"case(robbery-40, for-37) amod(robbery-40, armed-38) compound(robbery-40, bank-39) nmod:for(sentencing-36, robbery-40) ",NN,,,,,,,,for sentencing,for,sentencing,,,,,bank,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"In other words , they regard it as an act different from self-pleasuring , much as they would think killing in self-defense is a different act from killing during a robbery .",robbery,"case(robbery-31, during-29) det(robbery-31, a-30) nmod:during(killing-28, robbery-31) ",NN,,,,,,,,during killing,during,killing,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Carolyn McSwain says her mother certainly was when , while working as a volunteer for her church 's prison ministry , she met and fell in love with Robert-de-L Carlo while he was in the fifth year of a 31-year sentence for robbery . """,robbery,"case(robbery-43, for-42) nmod:for(sentence-41, robbery-43) ",NN,,,,,,,,for sentence,for,sentence,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Oh , I loved that , "" she said about the guy sitting on the floor , steak juice running off his face , and proceeded to tell us about the robbery planned for the office of the Executive Motel on Grove Street this Friday night at 11 p.m .",robbery,"case(robbery-32, about-30) det(robbery-32, the-31) acl(robbery-32, planned-33) nmod:about(tell-28, robbery-32) ",NN,,,,,,,,about tell,about,tell,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
She knew exactly where and when the robbery was going to take place because she was going to be one of the robbers herself .,robbery,"det(robbery-8, the-7) nsubj(going-10, robbery-8) nsubj(take-12, robbery-8) ",NN,,VBD,was,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> All of which is to say that if we had anything to do with it , Frostie and her robbery would be just another welcome link in this chain of melodrama and one about which the risks were n't even worth worrying .",robbery,"nmod:poss(robbery-21, her-20) nmod:with(do-14, robbery-21) conj:and(it-16, robbery-21) ",NN,,,,,,,,with do,with,do,,,and,it,,,,her,,,,,,,,,,singular,,[],unknown,unknown
"The Friday night foray at the Executive Motel was to be their first institutional robbery , Frostie said , though they had cased a few mom-and-pop stores over the past weeks .",robbery,"nsubj(robbery-15, foray-4) mark(robbery-15, to-10) cop(robbery-15, be-11) nmod:poss(robbery-15, their-12) amod(robbery-15, first-13) amod(robbery-15, institutional-14) parataxis(robbery-15, said-18) advcl(robbery-15, cased-23) xcomp(was-9, robbery-15) ",NN,,VB,,,be,be,,,,,,,,,,"first, institutional",,their,,,,,,,,,,singular,ambiguous,[],unknown,unknown
She volunteered for the robbery as soon as she found out they were trying to decide what kind of a place to hit .,robbery,"case(robbery-5, for-3) det(robbery-5, the-4) nmod:for(volunteered-2, robbery-5) ",NN,,,,,,,,for volunteered,for,volunteered,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> The robbery was to be late Friday .,robbery,"det(robbery-3, The-2) nsubj(was-4, robbery-3) nsubj(late-7, robbery-3) ",NN,,VBD,was,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Not only would that be a poor investment from Grimsby 's point of view , but he would believe that the odds of the robbery actually coming off were slim .",robbery,"case(robbery-25, of-23) det(robbery-25, the-24) acl(robbery-25, coming-27) nmod:of(odds-22, robbery-25) ",NN,,,,,,,,of odds,of,odds,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
They might forget to do the robbery .,robbery,"det(robbery-7, the-6) dobj(do-5, robbery-7) ",NN,,VB,,,do,do,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Saturday morning , three hours after the robbery was to go down .",robbery,"case(robbery-8, after-6) det(robbery-8, the-7) nmod:after(hours-5, robbery-8) ",NN,,,,,,,,after hours,after,hours,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"This was to keep a family of tourists , say , from pulling up and parking there just as the robbery began .",robbery,"det(robbery-21, the-20) nsubj(began-22, robbery-21) ",NN,,VBD,began,begin,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
The robbery was self-authenticating .,robbery,"det(robbery-2, The-1) nsubj(self-authenticating-4, robbery-2) ",NN,,,,,,,,,,,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"So , you ask me -- as did the sergeant -- how would the cops know about the robbery ?",robbery,"case(robbery-19, about-17) det(robbery-19, the-18) nmod:about(know-16, robbery-19) ",NN,,,,,,,,about know,about,know,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"He listened when the man told him he knew a woman , knew her well , who had overheard two men -- Jerry and Piggy by name -- planning an armed robbery of the Executive Motel that very night , in just a couple of hours .",robbery,"det(robbery-32, an-30) amod(robbery-32, armed-31) nmod:of(robbery-32, Motel-36) dobj(planning-29, robbery-32) ",NN,,VBG,,,planning,plan,,of Motel,of,,motel,an,,,,armed,,,,,,,,,,an,unit,singular,ambiguous,['A+N'],countable,unknown
They actually threatened to drive up as the robbery was underway if we did n't let them in .,robbery,"det(robbery-9, the-8) nsubj(underway-11, robbery-9) ",NN,,VBD,was,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Postcript <p> Alvin "" Piggy "" Roberts was charged with both armed robbery and first degree murder .",robbery,"case(robbery-13, with-10) det(robbery-13, both-11) amod(robbery-13, armed-12) cc(robbery-13, and-14) conj:and(robbery-13, murder-17) nmod:with(charged-9, robbery-13) ",NN,,,,,,,,with charged,with,charged,,both,and,murder,,armed,,,,,,,,,,both,other,singular,,['O-DEN'],countable,unknown
<p> Frank Fanning and Eddie Wilson were both promoted to the Detective Bureau of the SFPD within two years of the robbery .,robbery,"case(robbery-22, of-20) det(robbery-22, the-21) nmod:of(years-19, robbery-22) ",NN,,,,,,,,of years,of,years,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> "" Frostie "" and Pogo left San Francisco for Las Vegas a few months after the robbery .",robbery,"case(robbery-18, after-16) det(robbery-18, the-17) nmod:after(left-7, robbery-18) ",NN,,,,,,,,after left,after,left,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"He says Joy and David had been having an affair since last fall , when David returned to Littlerock after spending nearly 10 years in a federal prison for bank robbery . """,robbery,"case(robbery-31, for-29) compound(robbery-31, bank-30) nmod:for(prison-28, robbery-31) ",NN,,,,,,,,for prison,for,prison,,,,,bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"Today 's transgressions resemble those on a big-city police blotter : drug abuse , robbery and assault .",robbery,"dep(those-5, robbery-15) conj:and(abuse-13, robbery-15) ",NN,,,,,,,,,,,,,and,abuse,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Both Rower and Lawrence have been charged with murder , kidnapping and robbery and are awaiting trial this winter .",robbery,"nmod:with(charged-7, robbery-13) conj:and(murder-9, robbery-13) ",NN,,,,,,,,with charged,with,charged,,,and,murder,,,,,,,,,,,,,,singular,,[],unknown,unknown
Police said it may have been a botched robbery .,robbery,"nsubj(robbery-9, it-3) aux(robbery-9, may-4) aux(robbery-9, have-5) cop(robbery-9, been-6) det(robbery-9, a-7) amod(robbery-9, botched-8) ccomp(said-2, robbery-9) ",NN,,VBN,,,been,be,,,,,,a,,,,botched,,,,,,,,"may, have",,a,unit,singular,ambiguous,['A+N'],countable,nonverdical
Harding 's subject matter ranges from a fatal robbery on Kill the Messenger ' to the rise of fascism on Hitler 's Tears . ',robbery,"case(robbery-9, from-6) det(robbery-9, a-7) amod(robbery-9, fatal-8) nmod:'(robbery-9, Messenger-13) nmod:from(ranges-5, robbery-9) ",NN,,,,,,,,from ranges,from,ranges,,a,,,,fatal,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Pressed about others , he finally admits , "" You do n't want to know , because the amount of skulduggery and bribery and actual armed robbery would make your hair stand on end . """,robbery,"amod(robbery-27, actual-25) amod(robbery-27, armed-26) nmod:of(amount-19, robbery-27) conj:and(skulduggery-21, robbery-27) ",NN,,,,,,,,of amount,of,amount,,,and,skulduggery,,"actual, armed",,,,,,,,,,,,singular,,[],unknown,unknown
"According to the FBI , juvenile arrests for murder , robbery and assault all increased by 50 percent between 1988 and 1992 .",robbery,"nmod:for(arrests-7, robbery-11) conj:and(murder-9, robbery-11) ",NN,,,,,,,,for arrests,for,arrests,,,and,murder,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Also at First Rock on Sunday morning stands the Reverend Harry "" Tyrone "" Adams , a 39-year-old recovering drug addict , former narcotics salesman , and ex-convict whose last sentence ( before a judicially ordered reduction ) was 105 years for armed robbery .",robbery,"case(robbery-45, for-43) amod(robbery-45, armed-44) nmod:for(years-42, robbery-45) ",NN,,,,,,,,for years,for,years,,,,,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"In one recent year , black youths accounted for 45 percent of the nation 's arrests for murder and manslaughter , 54 percent for forcible rape , 68 percent for robbery , and 39 percent for aggravated assault .",robbery,"case(robbery-31, for-30) nmod:for(percent-29, robbery-31) ",NN,,,,,,,,for percent,for,percent,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"2 Another study of children in Chicago found that 74% of them had either witnessed a murder , a shooting , a stabbing , or a robbery and that almost half ( 47% ) of these incidents involved friends , family members , classmates , or neighbors.",robbery,"det(robbery-28, a-27) dobj(witnessed-16, robbery-28) conj:or(murder-18, robbery-28) ",NN,,VBN,,,witnessed,witness,,,,,,a,or,murder,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"Car theft , drug selling and smash-and-grab robbery ( smash a storefront with a car , wait for the glass to settle , and grab the goods ) were agreeable moneymakers , but what gave the Crips their legends and their heroes were drive-by shootings in Bloods territory , to avenge real or fancied dissing -- slights to the gang 's code of honor .",robbery,"amod(robbery-8, smash-and-grab-7) conj:and(theft-2, robbery-8) nsubj(moneymakers-31, robbery-8) ",NN,,VBD,were,be,,,,,,,,,and,theft,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Street crimes such as murder , assaults , rape , robbery , and auto theft are clearly escalating , particularly in some formerly communist countries such as Hungary and in western European nations such as Scandinavia and the United Kingdom .",robbery,"case(robbery-11, such-3) compound(robbery-11, murder-5) dep(robbery-11, assaults-7) dep(robbery-11, rape-9) cc(robbery-11, and-13) conj:and(robbery-11, theft-15) nmod:such_as(crimes-2, robbery-11) ",NN,,,,,,,,such_as crimes,such_as,crimes,,,and,theft,murder,,,,,,,,,,,,,singular,,[],unknown,unknown
"Other offenses , such as murder , rape , and robbery , have stabilized .",robbery,"nmod:such_as(offenses-2, robbery-11) conj:and(murder-6, robbery-11) ",NN,,,,,,,,such_as offenses,such_as,offenses,,,and,murder,,,,,,,,,,,,,,singular,,[],unknown,unknown
"When asked if he had any regrets about stabbing a robbery victim who subsequently spent time in the hospital as a result of his wounds , one of our subjects replied , "" Get real !",robbery,"compound(victim-12, robbery-11) ",NN,,VBD,spent,spend,,,,,,,,,,,victim,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"In February , Robert pleaded guilty to attempted armed robbery and was sentenced to two years probation .",robbery,"case(robbery-10, to-7) amod(robbery-10, attempted-8) amod(robbery-10, armed-9) nmod:to(guilty-6, robbery-10) ",NN,,,,,,,,to guilty,to,guilty,,,,,,"attempted, armed",,,,,,,,,,,,singular,,[],unknown,unknown
