sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"We proceed from the premise that principles of duty and proximate cause are instrumental in limiting the amount of litigation and the extent of liability in cases in which no physical harm occurs just as they are in cases involving physical injury . """,harm,"neg(harm-32, no-30) amod(harm-32, physical-31) nsubj(occurs-33, harm-32) ",NN,no,VBZ,occurs,occur,,,,,,,,,,,,,physical,[0.09333333333333332],[0.060041666666666674],[0.008125],[0.14345833333333333],[0.06291666666666666],[0.08604166666666666],[0.1625],[0.040625],[0.11245833333333331],[0.0805],[0.04],[0.0775],[0.0325],,,,,,,,,,,,singular,linked,singular,,unknown,verdical
107 The government can prevent a proprietor from using property in a way that causes affirmative harm without incurring an obligation to compensate .,harm,"amod(harm-17, affirmative-16) dobj(causes-15, harm-17) ",NN,,VBZ,,,causes,cause,,,,,,,,,,,affirmative,[0.02875],[0.020238095238095236],[0.006428571428571428],[0.059375],[0.024583333333333332],[0.02],[0.0325],[0.005],[0.025625],[0.0275],[0.0475],[0.675],[0.0275],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"Property owners act reasonably with regard to surface water drainage if there is necessity for such drainage ; if care is taken to avoid harming the land receiving the drained water ; if the benefit to the land drained outweighs the gravity of harm to the land receiving the drainage ; and if , where feasible , drainage is accomplished by improving the natural drainage system .",harm,"case(harm-44, of-43) nmod:of(gravity-42, harm-44) ",NN,,,,,,,,of gravity,of,gravity,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
3 Congress recognized that activities aimed at raising the standard of living in a society often come at the expense of environmental harm.,harm,"case(harm-23, of-21) amod(harm-23, environmental-22) nmod:of(expense-20, harm-23) ",NN,,,,,,,,of expense,of,expense,,,,,,,environmental,[0.06208333333333333],[0.030833333333333334],[0.0125],[0.08395833333333334],[0.18583333333333332],[0.0475],[0.08625],[0.1275],[0.10291666666666668],[0.053125],[0.1225],[0.0275],[0.0575],,,,,,,,,,,,singular,linked,,,unknown,unknown
They challenge the scope of an EIS and the sufficiency of its analysis of environmental harms.,harms,"case(harms-16, of-14) amod(harms-16, environmental-15) nmod:of(analysis-13, harms-16) ",NNS,,,,,,,,of analysis,of,analysis,,,,,,,environmental,[0.06208333333333333],[0.030833333333333334],[0.0125],[0.08395833333333334],[0.18583333333333332],[0.0475],[0.08625],[0.1275],[0.10291666666666668],[0.053125],[0.1225],[0.0275],[0.0575],,,,,,,,,,,,plural,linked,,,unknown,unknown
"<p> This Comment suggests that environmentalists could seek a consent decree , in conjunction with the EIS reporting process , to make agencies and third parties more responsive to substantive environmental concerns , and to provide grounds for a cause of action when guarding against environmental harm .",harm,"case(harm-47, against-45) amod(harm-47, environmental-46) nmod:against(guarding-44, harm-47) ",NN,,,,,,,,against guarding,against,guarding,,,,,,,environmental,[0.06208333333333333],[0.030833333333333334],[0.0125],[0.08395833333333334],[0.18583333333333332],[0.0475],[0.08625],[0.1275],[0.10291666666666668],[0.053125],[0.1225],[0.0275],[0.0575],,,,,,,,,,,,singular,linked,,,unknown,unknown
"34 <p> Because the Supreme Court established that NEPA states only procedural and not substantive environmental standards , the resulting narrow scope of review over the EIS reporting process has provided limited opportunities for plaintiffs to prevent environmental harms .",harms,"amod(harms-39, environmental-38) dobj(prevent-37, harms-39) ",NNS,,VB,,,prevent,prevent,,,,,,,,,,,environmental,[0.06208333333333333],[0.030833333333333334],[0.0125],[0.08395833333333334],[0.18583333333333332],[0.0475],[0.08625],[0.1275],[0.10291666666666668],[0.053125],[0.1225],[0.0275],[0.0575],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"36 <p> In light of this narrow scope of review , plaintiffs should explore alternative ways to use the EIS reporting process to prevent environmental harms .",harms,"amod(harms-26, environmental-25) dobj(prevent-24, harms-26) ",NNS,,VB,,,prevent,prevent,,,,,,,,,,,environmental,[0.06208333333333333],[0.030833333333333334],[0.0125],[0.08395833333333334],[0.18583333333333332],[0.0475],[0.08625],[0.1275],[0.10291666666666668],[0.053125],[0.1225],[0.0275],[0.0575],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
1989 ) ( plaintiff 's complaint about the inadequacy of the EIS was dismissed as moot after airport construction completed and plaintiffs failed to show the government capable of repeating the harm ) .,harm,"det(harm-32, the-31) dobj(repeating-30, harm-32) ",NN,,VBG,,,repeating,repeat,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
Arguments that he faced physical harm if returned to his native country and appeals to justices of the United States Supreme Court were to no avail .,harm,"amod(harm-6, physical-5) dobj(faced-4, harm-6) ",NN,,VBD,,,faced,face,,,,,,,,,,,physical,[0.09333333333333332],[0.060041666666666674],[0.008125],[0.14345833333333333],[0.06291666666666666],[0.08604166666666666],[0.1625],[0.040625],[0.11245833333333331],[0.0805],[0.04],[0.0775],[0.0325],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Physical Security -- the extent to which the device is likely to cause physical harm , including bodily injury or infection , to the consumer .",harm,"amod(harm-15, physical-14) nmod:including(harm-15, injury-19) nmod:including(harm-15, infection-21) dobj(cause-13, harm-15) ",NN,,VB,,,cause,cause,,"including injury, including infection","including, including",,"injury, infection",,,,,,physical,[0.09333333333333332],[0.060041666666666674],[0.008125],[0.14345833333333333],[0.06291666666666666],[0.08604166666666666],[0.1625],[0.040625],[0.11245833333333331],[0.0805],[0.04],[0.0775],[0.0325],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Les Aspin ( D-Wis. ) and Dickinson , the chair and ranking minority member of HASC , argue that "" fully 70 percent of all the funds that are now obscured under the ' black ' umbrella could be listed publicly in the budget without causing any harm to national security . """,harm,,NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The first Earth Day succeeded in alerting many people to the urgent need to prevent further harm to the Earth , and it certainly played a role in increasing the influence of the environmental movement on U.S. government and industry .",harm,"amod(harm-17, further-16) dobj(prevent-15, harm-17) ",NN,,VB,,,prevent,prevent,,,,,,,,,,,further,[0.03375],[0.014166666666666666],[0.007083333333333333],[0.035],[0.67125],[0.0075],[0.03],[0.015],[0.06375],[0.0175],[0.055],[0.0075],[0.0425],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
